Created Date,Record Number,Record Type,Status,Address,Property/Project Name,Description,Expiration Date,,,,,,,,
3/21/2023,002900-23CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,"POTA JCEOProvided legal referral and offered to review notice 3/21/2023Received no further communication from customer, closed 3/29/2023",,,,,,,,,
3/17/2023,002857-23CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,"POTA JCEOLeft voicemail with callback number 3/21/2023Left second voicemail 3/24/2023Received no callback from customer, closed 4/5/2023, no assistance provided",,,,,,,,,
2/18/2023,00161-23-UN-001,Economic Displacement Relocation Assistance (EDRA) Application,Completed,308    4TH  AVE  S  SEATTLE,,EDRA,,,,,,,,,
2/13/2023,001786-23CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
2/6/2023,00147-23-UN-001,Economic Displacement Relocation Assistance (EDRA) Application,Completed,308    4TH  AVE  S  SEATTLE,,EDRA,,,,,,,,,
1/30/2023,001067-23CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,"POTA, OTHR",,,,,,,,,
1/24/2023,000991-23CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING RRIO REG: 001-0019332-001R,,,,,,,,,
1/11/2023,00055-22-UN-002,Economic Displacement Relocation Assistance (EDRA) Application,Completed,308    4TH  AVE  S  SEATTLE,,EDRA,,,,,,,,,
1/10/2023,000355-23CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING,,,,,,,,,
12/29/2022,013815-22CP,Code Compliance Complaint,Closed,308    4th  AVE  S,,HOUSING,,,,,,,,,
12/23/2022,013700-22CP,Code Compliance Complaint,Under Investigation,308    4TH  AVE  S  SEATTLE,,POTA,,,,,,,,,
12/13/2022,013182-22CP,Code Compliance Complaint,Closed,308    4TH  AVE  S,,"POTA, JCEO",,,,,,,,,
11/18/2022,00061-22-UN-001,Economic Displacement Relocation Assistance (EDRA) Application,Completed,308    4TH  AVE  S  SEATTLE,,EDRA,,,,,,,,,
11/14/2022,00055-22-UN-001,Economic Displacement Relocation Assistance (EDRA) Application,Withdrawn,308    4TH  AVE  S  SEATTLE,,EDRA,,,,,,,,,
10/21/2022,011581-22CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING RRIO REG: 001-0019332-001R & POTA,,,,,,,,,
10/18/2022,EQP-BP-26432,Boiler Equipment Certification,Operating Without Certificate,308    4TH  AVE  S  SEATTLE,LOCHINVAR T BOILER,LOCHINVAR T BOILER,,,,,,,,,
10/18/2022,EQP-BP-26431,Boiler Equipment Certification,Operating Without Certificate,308    4TH  AVE  S  SEATTLE,LOCHINVAR WT BOILER,LOCHINVAR WT  BOILER,,,,,,,,,
9/27/2022,010666-22CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING RRIO REG: 001-0019332-001R,,,,,,,,,
7/12/2022,006834-22CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,"POTA, INRENT, EDRA",,,,,,,,,
7/12/2022,SUCONST0002905-EXT001,ROW Extension Request,Closed,308    4TH  AVE  S  SEATTLE,308 4TH AVE S,Scope: Staging in ROW for scaffolding take downMobility Impacts: South Sidewalk and Bike Lane closed on S MAIN ST BETWEEN 4TH AVE S AND 5TH AVE SEast Sidewalk closed on 4TH AVE S BETWEEN S MAIN ST AND S JACKSON ST; All impacts per Approved Traffic Control Plan; Neighborhood Notifications per SDOT CAM 2117,,,,,,,,,
6/27/2022,006070-22CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410    &    POTA,,,,,,,,,
6/16/2022,SDOT-RAP-00-28480,Restricted Area Parking - Application,Withdrawn,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
6/16/2022,SDOT-TNPN-01-45748,Temporary No Parking Zone (Non-Paid Area) - Application,Completed,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
6/16/2022,SDOT-TNPN-01-45749,Temporary No Parking Zone (Non-Paid Area) - License,Expired,308    4TH  AVE  S  SEATTLE,,,6/28/2022,,,,,,,,
6/10/2022,SUCONST0002905-ADC001,ROW Date Change Request,Closed,308    4TH  AVE  S  SEATTLE,308 4TH AVE S Addison Apts.,"Scope: Staging and walk-thru scaffolding in ROW for building facade repair with swing stagingMobility Impacts: South Sidewalk and Bike Lane closed on S MAIN ST BETWEEN 4TH AVE S AND 5TH AVE SEast Sidewalk closed on 4TH AVE S BETWEEN S MAIN ST AND S JACKSON ST; All impacts per Approved Traffic Control Plan; Neighborhood Notifications per SDOT CAM 2117Applicants Description:Remove loose masonry above sidewalk ROW. Do repairs T/M as best as possible and inspect the remaining facade above sidewalk ROW. Close each sidewalk for 1 day to set up sidewalk pedestrian scaffold with swing stage above for project access. Each walk thru scaffold will have pedestrian access. Sidewalks will remain open at all times for the duration of the project. Scaffold locations will be on, East corner on Main St. & above the main entrance on 4th Ave S., Do to no street parking, stage in north bike lane and median , leaving adjent south bike lane open for bicycle traffic.",,,,,,,,,
5/26/2022,004675-22CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
5/11/2022,004181-22CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,"POTA, RENTAG",,,,,,,,,
5/6/2022,003958-22CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
4/21/2022,SUCONST0002905,ROW Construction Permit,Closed,308    4TH  AVE  S  SEATTLE,308 4TH AVE S,Scope: Staging in ROW for scaffolding take downMobility Impacts: South Sidewalk and Bike Lane closed on S MAIN ST BETWEEN 4TH AVE S AND 5TH AVE SEast Sidewalk closed on 4TH AVE S BETWEEN S MAIN ST AND S JACKSON ST; All impacts per Approved Traffic Control Plan; Neighborhood Notifications per SDOT CAM 2117,7/29/2022,,,,,,,,
4/15/2022,003261-22CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
4/8/2022,003068-22CP,Code Compliance Complaint,Under Investigation,308    4TH  AVE  S  SEATTLE,,POTA,,,,,,,,,
3/15/2022,009687-23CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,POTA; JCEO; 3 Day Notice to Terminate,,,,,,,,,
3/15/2022,009713-23CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,POTA; JCEO; 3 Day Notice to Terminate,,,,,,,,,
3/15/2022,DONH-COA-00504,Historic Preservation Certificate of Approval,Issued,308    4TH  AVE  S  SEATTLE,Addison on  fourth,change of Use from retail store to restaurant/café,,,,,,,,,
2/14/2022,001422-22CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
2/7/2022,001292-22CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,POTA & HOUSING - RRIO REG: 001-0100410,,,,,,,,,
1/3/2022,000232-22CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA - DUPLICATE - See 010343-21CP,,,,,,,,,
12/14/2021,010343-21CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA,,,,,,,,,
11/17/2021,009634-21CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,WITHDRAWN PER COMPLAINANT REQUEST,,,,,,,,,
10/12/2021,008537-21CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
9/1/2021,007259-21CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,"POTA, JCEO",,,,,,,,,
8/27/2021,007327-21CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA PAOTHR,,,,,,,,,
8/19/2021,003-0031906,Rental Property Late Registration Violation,Violation Withdrawn,308    4TH  AVE  S  SEATTLE,Overdue Renewal,,,,,,,,,,
8/10/2021,006491-21CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA; JCEO; XThree day notice not recorded with the City prior to service on tenant as required by SMC 22.206.160.C.1.p. Notice voluntarily rescinded on 8/13/21.,,,,,,,,,
8/5/2021,005610-21PA,Building & Land Use Pre-Application,Additional Info Requested,308    4TH  AVE  S  SEATTLE,Tsehay Bojia,I want to Chang my clothing store to cafe.,,,,,,,,,
7/8/2021,005454-21CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,"POTA, JCEO, X",,,,,,,,,
7/7/2021,001-0019332-001R,Rental Property Renewal,Renewal Issued,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
6/3/2021,004147-21CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,"POTA, JCEO, PAOTHR, 10 Day Notice and key FOB not working",,,,,,,,,
4/12/2021,002660-21CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA,,,,,,,,,
3/29/2021,6830828-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,MOBILEONE 5536,Telecommunications work/wireless alarm installation.,3/29/2022,,,,,,,,
3/26/2021,002363-21CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,POTA,,,,,,,,,
3/15/2021,6828251-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,14-21-18758 Addison Apts.,Certification to make automatic. EQP-BP-19966.,9/15/2022,,,,,,,,
3/15/2021,6828250-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,14-21-18758,Certification to make boiler automatic. EQP-BP-19965.,9/15/2022,,,,,,,,
3/9/2021,001846-21CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
1/28/2021,6820869-BP-001,Withdrawal Request - Permits,Completed,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
1/28/2021,6820870-BP-001,Withdrawal Request - Permits,Completed,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
1/27/2021,6820870-BP,Boiler/Pressure Vessel Permit,Withdrawn,308    4TH  AVE  S  SEATTLE,14-21-18758 Addison Boiler,Install (1) boiler.,7/27/2022,,,,,,,,
1/27/2021,6820869-BP,Boiler/Pressure Vessel Permit,Withdrawn,308    4TH  AVE  S  SEATTLE,14-21-18758 Addison Apt. Boiler,Install (1) boiler.,7/27/2022,,,,,,,,
1/21/2021,000588-21CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA,,,,,,,,,
1/14/2021,000419-21CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA,,,,,,,,,
1/7/2021,6817839-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,14-20-17983 Addison DHW Heaters,Provide and install (1) boiler.,7/7/2022,,,,,,,,
12/21/2020,010515-20CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
12/10/2020,010332-20CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO #001-0100410,,,,,,,,,
12/4/2020,6813405-EL,Electrical Permit: Over the Counter,Expired,308    4TH  AVE  S  SEATTLE,Addison DKS Aiphone,Adding access control and video intercom to Main St gate,12/4/2021,,,,,,,,
12/3/2020,6813284-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,14-20-17983 Addison DHW Heaters,Provide and install (2) boilers.,6/3/2022,,,,,,,,
12/3/2020,6813281-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,14-20-17983 Addison DHW Heaters,Disconnect/reconnect of (2) boiler/water heaters.,12/3/2021,,,,,,,,
11/6/2020,1051292-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,Housing and Bldg. Maintenance Code Violation,,,,,,,,,
10/30/2020,009522-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
10/30/2020,1051247-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,Housing and Bldg. Maintenance Code Violation,,,,,,,,,
10/30/2020,1051245-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,Housing and Bldg. Maintenance Code Violation,,,,,,,,,
10/30/2020,1051243-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,Housing and Bldg. Maintenance Code Violation,,,,,,,,,
10/8/2020,008859-20CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0051699,,,,,,,,,
9/25/2020,008600-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0051699,,,,,,,,,
9/16/2020,008185-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0051699,,,,,,,,,
9/14/2020,008119-20CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING - Closed. No info contact provided.,,,,,,,,,
9/4/2020,007854-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
8/29/2020,007624-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,ZONING - SPD referral - Please call 206-625-5011,,,,,,,,,
8/20/2020,007339-20CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,POTA,,,,,,,,,
8/6/2020,006757-20CP,Code Compliance Complaint,Closed,308    4th  AVE  S,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
7/16/2020,005984-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,NOISE - RELATED: 005486-20CP,,,,,,,,,
7/1/2020,005486-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,NOISE,,,,,,,,,
6/17/2020,005018-20CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
6/9/2020,1050396-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,Housing and Bldg. Maintenance Code Violation,,,,,,,,,
5/29/2020,004439-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
5/20/2020,004090-20CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
4/29/2020,6780752-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,Addison North Stairwells,Adding electrified lever sets to all stairwell doors on north side of building. 2 stairwells total,4/29/2021,,,,,,,,
4/20/2020,1050226-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,Housing and Bldg. Maintenance Code Violation,,,,,,,,,
4/18/2020,003147-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA & HOUSING - RRIO REG: 001-0100410,,,,,,,,,
4/6/2020,002823-20CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,POTA - HOUSING - RRIO REG: 001-0100410,,,,,,,,,
3/11/2020,6776024-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,Replace existing DVR. Install new network camera system throughout building with speaker deterrent system.,3/11/2021,,,,,,,,
3/10/2020,002103-20CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,"POTA, PAOTHR asserts unlawful entries, harassment by management",,,,,,,,,
2/20/2020,001579-20CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,POTA & HOUSING - RRIO REG: 001-0100410,,,,,,,,,
2/5/2020,6770147-EL,Electrical Permit: Over the Counter,Expired,308    4TH  AVE  S  SEATTLE,Addison on 4th Access Addition,Adding three doors to existing access control system.,2/5/2021,,,,,,,,
1/24/2020,000705-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
1/21/2020,000620-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA TRAO HBMC,,,,,,,,,
1/20/2020,000690-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA,,,,,,,,,
1/14/2020,000434-20CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,NOISE & HOUSING - RRIO REG: 001-0100410,,,,,,,,,
1/14/2020,000416-20CP,Complaint,Completed,308 4th AVE S,,"Per Online; The boiler system has been partially down since Wednesday, January 8th after the fire in the trash chute we had no heat and no notice that something was wrong until Sunday, January 12th. They did distribute space heaters that are inadequate and can only be used in specific electrical sockets, which in my case, are both in the kitchen, so it does nothing to heat the room I actually live in. The radiated heat did come on around 2 p.m., but turned off around 9 p.m. la",Request,POINT (-122.32851868 47.59982559),Completed,,,,,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000416-20CP
1/8/2020,000279-20CP,Complaint,Completed,308 4th AVE S,,"Per Online; This is a follow up to compliant number 000238-20CP. Trash chute is no longer clogged with trash it CAUGHT FIRE, yesterday and the Seattle Fire Department pulled all of the trash out of the trash chute for all floors.",Request,POINT (-122.32851868 47.59982559),,,,,,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000279-20CP
1/7/2020,000238-20CP,Complaint,Completed,308 4th AVE S,,Trash accumulating in all four stairways of this building. Enough trash to impede rapid decent of stairs during fire alarms.,Request,,,,,,,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000238-20CP
1/7/2020,000239-20CP,Complaint,Closed,308 4TH AVE S,,Per Online; Garbage piles in hallways due to broken garbage chute for the last month. Stairwells full of trash and human poop. Loud fire alarm going off nightly.,Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000239-20CP
1/3/2020,000141-20CP,Complaint,Completed,308 4TH AVE S,LandLord/Tenant,"Garbage chute has been broken since Thanksgiving, garbage piled up, unsanitary.  Bedbug infestation in unit. Heat doesn't work properly leaks cold steam when you turn it on. Microwave and oven don't work properly, fridge doesn't keep food cold. Mgmt allows homeless to come in keeping tenants awake no security, drug use, needles being left. There are 2-3 smoke detectors that go off all the time.Tenant has lung issues, PTSSD, health is at risk can't live there anymore. What ar",Request,POINT (-122.32851868 47.59982559),No Access/Unable to Observe,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000141-20CP
1/3/2020,000145-20CP,Complaint,Closed,308 4TH AVE S,,"Rats, bed bugs in unit, roaches",Request,POINT (-122.32851868 47.59982559),No Access/Unable to Observe,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000145-20CP
1/2/2020,000128-20CP,Complaint,Closed,308 4TH AVE S,,"Garbage chute broken for 3 weeks; unsanitary conditions, rat concerns",Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000128-20CP
1/2/2020,000129-20CP,Complaint,Closed,308 4TH AVE S,,"Garbage chute broken for 3 weeks; unsanitary conditions, rat concerns",Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000129-20CP
12/30/2019,011867-19CP,Complaint,Completed,308 4TH AVE S,,Trash has not been collected for over 3 weeks.  The garbage chutes are backed up.  No plan when this issue will be resolved.,Request,POINT (-122.32851868 47.59982559),Completed,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011867-19CP
12/26/2019,011787-19CP,Complaint,Completed,308 4TH AVE S,,"We have had 3 weeks of backed up trash chutes.  Management told us to put the trash by the chute, and it will be picked up. It's been 3 weeks of accumulated garbage, now with flies and maybe rats.",Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011787-19CP
12/20/2019,011704-19CP,Complaint,Completed,308 4TH AVE S,LandLord/Tenant,Received an 14day eviction notice on 12/6. Notice is up today. Unit has several code violations. Unit was not cleaned prior to moving in. Bathroom & Kitchen sink are clogged up. There are bedbugs & roaches in unit. Heater only works periodically and it squirts out water when it's on. Garbage chutes have been backed up with garbage since Thanksgiving now tenants are putting garbage in hallways; this is unsanitary. All floors smell like meth or feces. People are defecating in,Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011704-19CP
FIRE DEPT/EMS REPORTED THIS VIOLATION AFTER RESPONDING TO THE ADDISON- ,,,,,,,,,,,,,,,
12/6/2019,1049214-VI,Notice of Violation,Completed,308 4TH AVE S,,"Per Online; While responding to this address on Fire/Ems calls we have observed unsafe/unsanitary conditions in common areas throughout the building (feces, needles, garbage etc). We are pursuing remedy through our code enforcement division but many of the problems are beyond our scope (Seattle Fire Code).",Case,POINT (-122.32851868 47.59982559),Completed,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1049214-VI
11/18/2019,010959-19CP,Complaint,Closed,308 4TH AVE S,,"Freight/service elevator shut-off. Bedbugs, stairwells are full of feces and no light bulbs.",Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010959-19CP
11/9/2019,010696-19CP,Complaint,Completed,308 4TH AVE S,,"Per Online; While responding to this address on Fire/Ems calls we have observed unsafe/unsanitary conditions in common areas throughout the building (feces, needles, garbage etc). We are pursuing remedy through our code enforcement division but many of the problems are beyond our scope (Seattle Fire Code).",Request,POINT (-122.32851868 47.59982559),Completed,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010696-19CP
