RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,Link,Latitude,Longitude,Location1
002635-11CP,Complaint,Request,Construction,"Per 6/2/11 e-mail fro Rand Juliano to Peter Hahn/SDOT: ""During a routine inspection of the Downtown Seattle Transit Tunnel, King County's engineering staff noticed the east-west retaining wall located on the southern edge of the Downtowner's parking lot property at the northwest corner of International District Station, & adjacent to the north wall of the King County Metro traction power substation structure, is experiencing significant deterioration (rough depiction of location attached). The",2011-06-07,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002635-11CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1026094-TR,Tenant Relocation,Request,,"Violation of the Tenant Relocation Assistance Ordinance, Seattle Municipal Code Chapter 22.210.Application for a Tenant Relocation License. Total units: 240. Removal of Use Restrictions.",2011-09-09,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1026094-TR,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1027313-TR,Tenant Relocation,Request,,Application for a Tenant Relocation License. Total units: 240; total occupied: 105. Substantial rehabilitation.,2012-04-18,POINT (-122.32851868 47.59982559),,Reviews In Process,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1027313-TR,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1028572-VI,Notice of Violation,Case,,,2012-11-05,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1028572-VI,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
002794-14CP,Complaint,Request,,Bedbugs in hallway and bedroom - see attached.,2014-05-20,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002794-14CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1032075-VI,Notice of Violation,Case,,Bedbugs in hallway and bedroom - see attached.,2014-05-29,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1032075-VI,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
007464-15CP,Complaint,Request,Land Use,Walk-In per Scott T: Failure to prevent smoking.,2015-12-02,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007464-15CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
002186-16CP,Complaint,Request,Weeds,Per online complaint: Multiple houses between 3rd Ave NW and 4th Ave NW have vegetation growing onto the sidewalk making to actually walk on the sidewalk.,2016-03-10,POINT (-122.36093226 47.67974003),,Completed,308 NW 70TH ST,SEATTLE,WA,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002186-16CP,47.67974003,-122.36093226,"(47.67974003, -122.36093226)"
007724-16CP,Complaint,Request,Construction,A wall was recently constructed closing off the North exit stairway enclosure. A door leading from the enclosure to the South main St. entrance is operable from within the enclosure but remains locked from S. Main St. Lobby. The Fire Marshall was notified with no results. See attached drawing.,2016-11-23,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007724-16CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
001491-17CP,Complaint,Request,,Bedbug infestation - tenant first noticed upon moving in on October 4; property management refuses to treat his unit or any others,2017-01-31,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001491-17CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
001702-17CP,Complaint,Request,,Rodent infestation; toilet leaks at the base - MGMT told tenant weeks ago that they're waiting for parts to fix the issue.,2017-02-15,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001702-17CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
002270-17CP,Complaint,Request,,"per handwritten complaint: rodent infestation, cracks and holes, broken light fixture. Landlord is unresponsive.",2017-03-20,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002270-17CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
002410-17CP,Complaint,Request,,"Building uses steamed heating system to heat rental units. Tenant is concerned because the rental unit is particularly cold - radiators generally do not turn on during the day hours, even when temperatures drop. MGMT has told tenant ""you're in a cold room"", and that the temperature of the entire building must be below 60 degrees before heat turns on. Complainant believes the temperature in his unit typically does not meet the standards set forth in HBMC.",2017-03-28,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002410-17CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
004539-17CP,Complaint,Request,,Bedbug infestation throughout unit. Ongoing problem for several months - MGMT unresponsive.,2017-06-30,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004539-17CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
007402-17CP,Complaint,Request,LandLord/Tenant,"PER ONLINE COMPLAINT:""Holding fee"" of $200 was paid to Heather Pickens for application that was never completed of processed. No receipt or request for refund were given. She has since refused to refund. The words ""HOLDING FEE"" are written on the front of the MO. They claim to have a photocopy of this money order.(HZT NOTES: on 10/13/17 emailed request to Michele Hunter to call Complainant.)",2017-10-13,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007402-17CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
007411-17CP,Complaint,Request,,PER PHONE COMPLAINT: HBMC violations.There is not adequate heat in the unit. There is a centralized heating system. It comes on for 15 minutes at 3:oopm and shuts off until 3:oopm the next day.,2017-10-13,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007411-17CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
007961-17CP,Complaint,Request,,"per online complaint: My name is Shannon Diamond and I am currently living in the apartment complex Addison on 4th on the 7th floor. My apartment building is currently infested with bedbugs. Also there is a strong odor of bodily fluids, including of feces, ejaculates and urine.",2017-11-09,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007961-17CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1039578-VI,Notice of Violation,Case,,Rodent infestation; toilet leaks at the base - MGMT told tenant weeks ago that they're waiting for parts to fix the issue.,2017-03-01,POINT (-122.32851868 47.59982559),Compliance Achieved,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1039578-VI,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1039961-VI,Notice of Violation,Case,,"per handwritten complaint: rodent infestation, cracks and holes, broken light fixture. Landlord is unresponsive.",2017-04-14,POINT (-122.32851868 47.59982559),Compliance Achieved,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1039961-VI,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1040700-VI,Notice of Violation,Case,,,2017-07-18,POINT (-122.32851868 47.59982559),Compliance Achieved,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1040700-VI,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1044184-VI,Notice of Violation,Case,Land Use,"PER PHONE COMPLAINT: HBMC violations - windows.Windows are not properly insulated.On the bottom floor, diesel fuel from buses that comes into unit and covers walls and unit, causing tenant to get sick. Walls are covered with black soot, landlord refuses to do anything about it.",2018-05-07,POINT (-122.32851868 47.59982559),Compliance Achieved,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1044184-VI,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
005430-18CP,Complaint,Request,LandLord/Tenant,"POTA--per walk-in (SA)--Man said sub-tenant, tenant in jail, wants to pay rent and continue to live in unit. Referred to SPD",2018-06-11,POINT (-122.32851868 47.59982559),,Completed,308 4th AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005430-18CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
005450-18CP,Complaint,Request,LandLord/Tenant,"Had a water leak in the bldg. awhile back and it was not properly fixed. Now there's black mold everywhere and it smells awful, getting tenants sick. Tenant has asthma with this smell she's having constant asthma attacks, wants to know rights if she breaks lease",2018-06-08,POINT (-122.32851868 47.59982559),,Closed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005450-18CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
008746-18CP,Complaint,Request,,HOUSING--per phone call--garbage in the stairwell for over a week. A gallon of milk has been spilled and smells awful.  Has asked the management to clean it up to no avail,2018-09-13,POINT (-122.32851868 47.59982559),,Closed,308 4th AVE S,SEATTLE,WA,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008746-18CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
009750-18CP,Complaint,Request,,"Property manager unresponsive to concerns about common areas overrun with unauthorized occupants, unsecured entry.",2018-10-16,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009750-18CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
001258-18CP,Complaint,Request,,Rodent infestation.,2018-01-12,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001258-18CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
002626-18CP,Complaint,Request,,She has bedbugs and the management has not been supportive. She also has a question about whether or not it's code compliant to have the lobby not locked when she's supposedly lives in a secure building. She's in,2018-03-09,POINT (-122.32851868 47.59982559),,Closed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002626-18CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
002925-18CP,Complaint,Request,,"No water to take a bath with, sink works.  Owner turned water off to fix, it's been over 24hrs. Bed bugs in hallway, landlord won't get it treated.  They will call the cops or put up notices on your door if you bother them.",2018-03-21,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002925-18CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
002976-18CP,Complaint,Request,LandLord/Tenant,"On the bottom floor, diesel fuel from buses that comes into unit and covers walls and unit, causing tenant to get sick. Walls are covered with black soot, landlord refuses to do anything about it, what are rights?",2018-03-23,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002976-18CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
003012-18CP,Complaint,Request,Land Use,"PER PHONE COMPLAINT: HBMC violations - windows.Windows are not properly insulated.On the bottom floor, diesel fuel from buses that comes into unit and covers walls and unit, causing tenant to get sick. Walls are covered with black soot, landlord refuses to do anything about it.",2018-03-26,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003012-18CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
000881-19CP,Complaint,Request,,Bedbugs,2019-01-29,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000881-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
001183-19CP,Complaint,Request,,"The Addison in fourth has a roof that is structurally unsound on the 9th floor. I have gathered pictures. There are feces in the hallway. The elevators are dangerous and constantly breakdown and people get stuck in them. Another tenant whom I have contact for, has a video of an office member here urinating on the floors of the building. They only fix things if threatened with reporting which I have done and they are trying to fix fast. The garbage room is absolutely disgusting",2019-02-16,POINT (-122.32851868 47.59982559),,Closed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001183-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
001482-19CP,Complaint,Request,"Emergency , LandLord/Tenant","Mold around tub no drain in tub. Heater/thermostat knob is not attached to radiator. No heat since 2/5/2019. No lease when moved in, no receipt of full payment of deposit $900",2019-02-28,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001482-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
001893-19CP,Complaint,Request,,"Broken window on the building, and generally an unsecured building that resulted in tenant being robbed at knifepoint inside the building. Frequent illegal entry by the landlord into tenants unit.",2019-03-12,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001893-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
003344-19CP,Complaint,Request,,"Elevator in building is not working been like this since April 1st. Tenants have got stuck in it before. Have not been able to reach Mgmt. emergency line does not work. There is no access to building/Unit when elevator is down, what should tenants do?",2019-05-02,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003344-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
006142-19CP,Complaint,Request,Land Use,Tenant says there is repeated junk and garbage that is left in what he describes as an awning. Mgmt is aware of this and has refused to clean it up. Junk is very toxic and tenant is not able to open window due to the smell. You have permission to view from his unit.,2019-07-12,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006142-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
006480-19CP,Complaint,Request,,"HOUSING--per phone call--exposed electrical wiring, trash at the base of the stairwell, elevator does not work",2019-07-19,POINT (-122.32851868 47.59982559),,Closed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006480-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1047563-VI,Notice of Violation,Case,,Tenant says there is repeated junk and garbage that is left in what he describes as an awning. Mgmt is aware of this and has refused to clean it up. Junk is very toxic and tenant is not able to open window due to the smell. You have permission to view from his unit.,2019-07-31,POINT (-122.32851868 47.59982559),Compliance Achieved,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1047563-VI,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
007444-19CP,Complaint,Request,,HOUSING--per phone call--bed bug infestation.  Multiple units infested,2019-08-09,POINT (-122.32851868 47.59982559),Withdrawn,Closed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007444-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
008518-19CP,Complaint,Request,,Bedbugs from furniture in hallway. Complainant is allergic.,2019-09-05,POINT (-122.32851868 47.59982559),,Closed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008518-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
008631-19CP,Complaint,Request,,HOUSING--per walk in--refrigerator/freezer broken for over 1 month.  Kitchen sink handle broken off for 1 month.  Shower handle stuck for 3 days.  2 smoke detectors not mine for 2 months chirping,2019-09-09,POINT (-122.32851868 47.59982559),,Closed,308 4TH AVE S,SEATTLE,WA,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008631-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
008950-19CP,Complaint,Request,LandLord/Tenant,POTA--per phone call--questions about move out process,2019-09-17,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008950-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
009194-19CP,Complaint,Request,,"Bed bugs in unit, work in the bathroom (from a leak) that hasn't been completed. Black Mold in hallway and garbage chute",2019-09-23,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009194-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
009902-19CP,Complaint,Request,,HOUSING--per phone call--landlord has set elevators to only let tenants off on the floor they live on.  Doors are locked to the stairwells and could present a safety issue.  All of the windows on the upper floors have been frosted so you can't see out of them.  Key fob doesn't work,2019-10-14,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009902-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
010696-19CP,Complaint,Request,,"Per Online; While responding to this address on Fire/Ems calls we have observed unsafe/unsanitary conditions in common areas throughout the building (feces, needles, garbage etc). We are pursuing remedy through our code enforcement division but many of the problems are beyond our scope (Seattle Fire Code).",2019-11-09,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010696-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
010697-19CP,Complaint,Request,,"HOUSING--per online--I made a complaint about The Addison 308 4th Ave South earlier, but didn't leave my contact information. (see #001183-19CP)",2019-11-09,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010697-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
010959-19CP,Complaint,Request,,"Freight/service elevator shut-off. Bedbugs, stairwells are full of feces and no light bulbs.",2019-11-18,POINT (-122.32851868 47.59982559),,Closed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010959-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1049214-VI,Notice of Violation,Case,,"Per Online; While responding to this address on Fire/Ems calls we have observed unsafe/unsanitary conditions in common areas throughout the building (feces, needles, garbage etc). We are pursuing remedy through our code enforcement division but many of the problems are beyond our scope (Seattle Fire Code).",2019-12-06,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1049214-VI,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
011704-19CP,Complaint,Request,LandLord/Tenant,Received an 14day eviction notice on 12/6. Notice is up today. Unit has several code violations. Unit was not cleaned prior to moving in. Bathroom & Kitchen sink are clogged up. There are bedbugs & roaches in unit. Heater only works periodically and it squirts out water when it's on. Garbage chutes have been backed up with garbage since Thanksgiving now tenants are putting garbage in hallways; this is unsanitary. All floors smell like meth or feces. People are defecating in,2019-12-20,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011704-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
011787-19CP,Complaint,Request,,"We have had 3 weeks of backed up trash chutes.  Management told us to put the trash by the chute, and it will be picked up. It's been 3 weeks of accumulated garbage, now with flies and maybe rats.",2019-12-26,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011787-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
011867-19CP,Complaint,Request,,Trash has not been collected for over 3 weeks.  The garbage chutes are backed up.  No plan when this issue will be resolved.,2019-12-30,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011867-19CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
000128-20CP,Complaint,Request,,"Garbage chute broken for 3 weeks; unsanitary conditions, rat concerns",2020-01-02,POINT (-122.32851868 47.59982559),,Closed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000128-20CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
000129-20CP,Complaint,Request,,"Garbage chute broken for 3 weeks; unsanitary conditions, rat concerns",2020-01-02,POINT (-122.32851868 47.59982559),,Closed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000129-20CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
000141-20CP,Complaint,Request,LandLord/Tenant,"Garbage chute has been broken since Thanksgiving, garbage piled up, unsanitary.  Bedbug infestation in unit. Heat doesn't work properly leaks cold steam when you turn it on. Microwave and oven don't work properly, fridge doesn't keep food cold. Mgmt allows homeless to come in keeping tenants awake no security, drug use, needles being left. There are 2-3 smoke detectors that go off all the time.Tenant has lung issues, PTSSD, health is at risk can't live there anymore. What ar",2020-01-03,POINT (-122.32851868 47.59982559),No Access/Unable to Observe,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000141-20CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
000145-20CP,Complaint,Request,,"Rats, bed bugs in unit, roaches",2020-01-03,POINT (-122.32851868 47.59982559),No Access/Unable to Observe,Closed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000145-20CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
000238-20CP,Complaint,Request,,Trash accumulating in all four stairways of this building. Enough trash to impede rapid decent of stairs during fire alarms.,2020-01-07,,,Completed,308 4th AVE S,,,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000238-20CP,,,
000239-20CP,Complaint,Request,,Per Online; Garbage piles in hallways due to broken garbage chute for the last month. Stairwells full of trash and human poop. Loud fire alarm going off nightly.,2020-01-07,POINT (-122.32851868 47.59982559),,Closed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000239-20CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
000279-20CP,Complaint,Request,,"Per Online; This is a follow up to compliant number 000238-20CP. Trash chute is no longer clogged with trash it CAUGHT FIRE, yesterday and the Seattle Fire Department pulled all of the trash out of the trash chute for all floors.",2020-01-08,POINT (-122.32851868 47.59982559),,Completed,308 4th AVE S,,,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000279-20CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
