RecordNum,District,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,HealthSafetyHabitability,HarassmentRetaliationDisplacement,RightsViolations,HealthSafetyTermsFound,HarassmentTermsFound,RightsTermsFound
006923-17CP,6,2017 Sep 25 12:00:00 AM,2017 Sep 25 12:00:00 AM,Completed,Completed,4130 1ST AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006923-17CP,True,False,False,no running water,,
1039300-VI,6,2017 Jan 23 12:00:00 AM,,,Completed,4311 35TH AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1039300-VI,True,False,False,leak,,
009633-18CP,6,2018 Oct 12 12:00:00 AM,2018 Oct 12 12:00:00 AM,Completed,Completed,6515 19th AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009633-18CP,True,False,False,sewage,,
1045594-VI,6,2018 Dec 12 12:00:00 AM,2018 Dec 17 12:00:00 AM,Completed,Completed,1537 NW 56TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1045594-VI,True,False,False,garbage,,
000446-20CP,6,2020 Jan 15 12:00:00 AM,2020 Jan 15 12:00:00 AM,Completed,Completed,416 N 36TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000446-20CP,True,False,False,no heat|no hot water|no running water|leak|leaks|roof leak|mold|rats|unsafe,,
1049495-VI,6,2020 Jan 17 12:00:00 AM,2020 Jan 15 12:00:00 AM,Completed,Completed,416 N 36TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1049495-VI,True,False,False,no heat|no hot water|no running water|leak|leaks|roof leak|mold|rats|unsafe,,
1049856-VI,6,2020 Feb 21 12:00:00 AM,2020 Feb 24 12:00:00 AM,Compliance Achieved,Completed,400 NE 65TH ST,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1049856-VI,True,False,False,no heat,,
002647-20CP,6,2020 Mar 30 12:00:00 AM,,,Completed,1715 NW 58TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002647-20CP,True,False,False,no water,,
002759-20CP,6,2020 Apr 03 12:00:00 AM,2020 Apr 03 12:00:00 AM,Completed,Closed,4505 LINDEN AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002759-20CP,True,False,False,sewage|raw sewage,,
002765-20CP,6,2020 Apr 03 12:00:00 AM,,,Closed,4505 LINDEN AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002765-20CP,True,False,False,sewage|raw sewage,,
1050702-VI,6,2020 Aug 05 12:00:00 AM,2020 Dec 17 12:00:00 AM,Vacant,Completed,5116 9TH AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1050702-VI,True,False,False,hazard|fire hazard,,
003687-21CP,6,2021 May 18 12:00:00 AM,,,Closed,7810 STROUD AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003687-21CP,True,False,False,hazard,,
1052563-VI,6,2021 Aug 04 12:00:00 AM,2021 Aug 06 12:00:00 AM,Completed,Completed,7810 STROUD AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1052563-VI,True,False,False,hazard,,
012149-22CP,6,2022 Nov 07 12:00:00 AM,2022 Nov 08 12:00:00 AM,Completed,Completed,1503 NW 59TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=012149-22CP,True,False,False,no heat,,
1055059-VI,6,2022 Nov 09 12:00:00 AM,2022 Nov 14 12:00:00 AM,Compliance Achieved,Completed,1503 NW 59TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1055059-VI,True,False,False,no heat,,
1055094-VI,6,2022 Nov 16 12:00:00 AM,2022 Nov 22 12:00:00 AM,Compliance Achieved,Completed,3847 23RD AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1055094-VI,True,False,False,no heat,,
012502-22CP,6,2022 Nov 17 12:00:00 AM,2022 Dec 28 12:00:00 AM,Completed,Completed,3228 34TH AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=012502-22CP,True,False,False,no heat,,
013082-22CP,6,2022 Dec 09 12:00:00 AM,,,Completed,5415 6TH AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=013082-22CP,True,False,True,no heat|leak|leaks,,code violation
013697-22CP,6,2022 Dec 23 12:00:00 AM,,,Completed,4135 EVANSTON AVE N,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=013697-22CP,True,False,False,no heat,,
1055300-VI,6,2022 Dec 30 12:00:00 AM,2023 Feb 24 12:00:00 AM,Compliance Achieved,Completed,3228 34TH AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1055300-VI,True,False,False,no heat,,
1055782-VI,6,2023 Apr 04 12:00:00 AM,2023 Apr 04 12:00:00 AM,Completed,EO Repair Restore Issued,4250 33RD AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1055782-VI,True,False,True,leak|leaking|mold|rodent,,rrio
1055813-VI,6,2023 Apr 07 12:00:00 AM,,,EO Vacate Close Issued,4250 33RD AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1055813-VI,True,False,True,leak|leaking|mold|rodent,,rrio
005016-23CP,6,2023 May 15 12:00:00 AM,,,Completed,1544 A NW 58TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005016-23CP,True,False,False,no heat|leak,,
1055998-VI,6,2023 May 15 12:00:00 AM,,,Completed,1544 A NW 58TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1055998-VI,True,False,False,no heat|leak,,
1056097-VI,6,2023 May 31 12:00:00 AM,2023 Oct 11 12:00:00 AM,Compliance Achieved,Completed,4073 GILMAN AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1056097-VI,True,False,False,sewage,,
012251-23CP,6,2023 Oct 13 12:00:00 AM,2023 Oct 12 12:00:00 AM,Completed,Completed,6512 Phinney AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=012251-23CP,True,False,False,no power,,
1056976-VI,6,2023 Oct 13 12:00:00 AM,2023 Oct 17 12:00:00 AM,Compliance Achieved,Completed,6512 Phinney AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1056976-VI,True,False,False,no power,,
012481-23CP,6,2023 Oct 19 12:00:00 AM,,,Completed,3119 W COMMODORE WAY,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=012481-23CP,False,False,True,,,notice to vacate
014527-23CP,6,2023 Dec 15 12:00:00 AM,2023 Dec 14 12:00:00 AM,Completed,Closed,6512 Phinney AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014527-23CP,True,False,False,no power,,
1057373-VI,6,2023 Dec 15 12:00:00 AM,2023 Dec 14 12:00:00 AM,Completed,Completed,6512 Phinney AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1057373-VI,True,False,False,no power,,
000747-24CP,6,2024 Jan 19 12:00:00 AM,2024 Jan 26 12:00:00 AM,Completed,Completed,2418 NW 58TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000747-24CP,True,False,False,no heat,,
1057612-VI,6,2024 Jan 29 12:00:00 AM,2024 Feb 02 12:00:00 AM,Compliance Achieved,Completed,6009 6TH AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1057612-VI,True,True,True,no water,pota,tenant rights
004840-24CP,6,2024 May 07 12:00:00 AM,,,Closed,6501 4TH AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004840-24CP,True,False,False,no heat,,
012090-24CP,6,2024 Oct 23 12:00:00 AM,2024 Oct 24 12:00:00 AM,Completed,Completed,6211 FREMONT AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=012090-24CP,True,False,False,sewage|leak,,
1059666-VI,6,2024 Oct 24 12:00:00 AM,2024 Oct 28 12:00:00 AM,Compliance Achieved,Completed,6211 FREMONT AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1059666-VI,True,False,False,sewage|leak,,
012372-24CP,6,2024 Nov 01 12:00:00 AM,2024 Nov 01 12:00:00 AM,Completed,Completed,521 N 74TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=012372-24CP,True,False,False,no heat,,
1059713-VI,6,2024 Nov 01 12:00:00 AM,2024 Nov 05 12:00:00 AM,Compliance Achieved,Completed,521 N 74TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1059713-VI,True,False,False,no heat,,
013345-24CP,6,2024 Nov 29 12:00:00 AM,,,Closed,618 NW 58TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=013345-24CP,True,False,False,no heat|no hot water|leak|water damage|rats|hazard|fire hazard,,
013688-24CP,6,2024 Dec 08 12:00:00 AM,,,Completed,618 NW 58TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=013688-24CP,True,False,False,flooded|odor,,
001400-25CP,6,2025 Feb 03 12:00:00 AM,2025 Feb 11 12:00:00 AM,Completed,Completed,4400 Fremont AVE N,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001400-25CP,True,False,False,leak|leaking|mold|hazard|fire hazard,,
004087-25CP,6,2025 Apr 10 12:00:00 AM,2025 Apr 10 12:00:00 AM,Completed,Completed,6505 15TH AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004087-25CP,True,False,False,sewage|leak,,
1060685-VI,6,2025 Apr 10 12:00:00 AM,2025 Apr 10 12:00:00 AM,Completed,Completed,6505 15TH AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1060685-VI,True,False,False,sewage|leak,,
005712-25CP,6,2025 May 16 12:00:00 AM,2025 May 16 12:00:00 AM,Completed,Completed,7300 5TH AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005712-25CP,True,False,False,flooding|unsafe|uninhabitable|structural,,
1060950-VI,6,2025 May 16 12:00:00 AM,2025 May 16 12:00:00 AM,Completed,EO Repair Restore Issued,7300 5TH AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1060950-VI,True,False,False,flooding|unsafe|uninhabitable|structural,,
005833-25CP,6,2025 May 20 12:00:00 AM,2025 May 16 12:00:00 AM,Completed,Completed,7300 5TH AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005833-25CP,True,False,False,flooding|unsafe|uninhabitable|structural,,
1060961-VI,6,2025 May 20 12:00:00 AM,2025 May 27 12:00:00 AM,Compliance Achieved,Completed,7300 5TH AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1060961-VI,True,False,False,flooding|unsafe|uninhabitable|structural,,
014556-25CP,6,2025 Nov 15 12:00:00 AM,,,Completed,806 A N 48TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014556-25CP,False,True,False,,locked out,
015639-25CP,6,2025 Dec 15 12:00:00 AM,,,Closed,5206 BALLARD AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=015639-25CP,True,False,False,no heat,,
001493-20CP,6,2020 Feb 20 12:00:00 AM,2020 Feb 21 12:00:00 AM,Completed,Completed,400 NE 65TH ST,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001493-20CP,True,False,False,no heat,,
005640-23CP,6,2023 May 30 12:00:00 AM,2023 May 31 12:00:00 AM,Completed,Under Investigation,4073 GILMAN AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005640-23CP,True,False,False,sewage,,
005831-23CP,6,2023 Jun 02 12:00:00 AM,,,Completed,5512 17TH AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005831-23CP,False,False,True,,,rent increase
006296-23CP,6,2023 Jun 13 12:00:00 AM,,,Completed,8311 15TH AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006296-23CP,False,True,True,,locked out,pay or vacate|vacate notice
008212-23CP,6,2023 Jul 21 12:00:00 AM,,,Completed,456 NE MAPLE LEAF PL,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008212-23CP,False,False,True,,,eviction notice
010417-23CP,6,2023 Sep 01 12:00:00 AM,,,Completed,4312 FRANCIS AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010417-23CP,False,False,True,,,rent increase
010544-23CP,6,2023 Sep 06 12:00:00 AM,,,Under Investigation,6116 22ND AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010544-23CP,False,False,True,,,eviction notice
010749-23CP,6,2023 Sep 11 12:00:00 AM,,,Completed,2850 NW 64TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010749-23CP,False,False,True,,,eviction notice
013956-23CP,6,2023 Dec 01 12:00:00 AM,,,Completed,6512 PHINNEY AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=013956-23CP,False,True,False,,retaliat,
014735-23CP,6,2023 Dec 22 12:00:00 AM,,,Completed,5621 22ND AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014735-23CP,False,False,True,,,notice to vacate
000811-24CP,6,2024 Jan 22 12:00:00 AM,,,Closed,1544 A NW 58TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000811-24CP,False,True,True,,retaliat,rent increase
001053-24CP,6,2024 Jan 26 12:00:00 AM,2024 Jan 26 12:00:00 AM,Completed,Completed,6009 6TH AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001053-24CP,True,True,True,no water,pota,tenant rights
001357-24CP,6,2024 Feb 02 12:00:00 AM,,,Closed,3253 35TH AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001357-24CP,False,False,True,,,security deposit
001420-24CP,6,2024 Feb 05 12:00:00 AM,2024 Feb 12 12:00:00 AM,Completed,Under Investigation,108 NW 76th ST,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001420-24CP,True,True,True,no heat,pota,tenant rights
001783-24CP,6,2024 Feb 14 12:00:00 AM,,,Completed,550 NE RAVENNA BLVD,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001783-24CP,False,False,True,,,rent increase|without proper notice
002084-24CP,6,2024 Feb 23 12:00:00 AM,,,Completed,2034 NW 57TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002084-24CP,False,False,True,,,rent increase
002271-24CP,6,2024 Feb 29 12:00:00 AM,,,Completed,5007 2ND AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002271-24CP,False,False,True,,,rent increase
002390-24CP,6,2024 Mar 04 12:00:00 AM,,,Completed,6247 2ND AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002390-24CP,False,False,True,,,rent increase
002975-24CP,6,2024 Mar 18 12:00:00 AM,,,Closed,537 NE RAVENNA BLVD,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002975-24CP,False,False,True,,,rent increase
003141-24CP,6,2024 Mar 22 12:00:00 AM,,,Completed,1506 B NW 57TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003141-24CP,False,False,True,,,rent increase
003179-24CP,6,2024 Mar 25 12:00:00 AM,,,Completed,7542 JONES AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003179-24CP,False,True,True,,retaliat,eviction notice
003190-24CP,6,2024 Mar 25 12:00:00 AM,,,Completed,6900 EAST GREEN LAKE WAY N,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003190-24CP,False,False,True,,,rent increase
003199-24CP,6,2024 Mar 25 12:00:00 AM,,,Completed,8026 15TH AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003199-24CP,False,False,True,,,rent increase
003300-24CP,6,2024 Mar 27 12:00:00 AM,,,Completed,5906 28TH AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003300-24CP,False,False,True,,,rent increase
003362-24CP,6,2024 Mar 28 12:00:00 AM,,,Completed,1753 NW 56TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003362-24CP,False,False,True,,,pay or vacate
003413-24CP,6,2024 Mar 29 12:00:00 AM,,,Closed,7208 LINDEN AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003413-24CP,False,True,True,,pota,tenant rights
003530-24CP,6,2024 Apr 03 12:00:00 AM,,,Completed,8541 PHINNEY AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003530-24CP,False,False,True,,,rent increase
003602-24CP,6,2024 Apr 04 12:00:00 AM,,,Closed,5398 RUSSELL AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003602-24CP,False,False,True,,,eviction notice
003704-24CP,6,2024 Apr 08 12:00:00 AM,,,Completed,1521 NW 54TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003704-24CP,False,False,True,,,pay or vacate|vacate notice
003839-24CP,6,2024 Apr 11 12:00:00 AM,,,Completed,7318 LATONA AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003839-24CP,False,False,True,,,rent increase
004264-24CP,6,2024 Apr 22 12:00:00 AM,,,Completed,3502 W BERTONA ST,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004264-24CP,False,False,True,,,notice to vacate
1058184-VI,6,2024 Apr 22 12:00:00 AM,,,Warning,3502 W BERTONA ST,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1058184-VI,False,False,True,,,notice to vacate
004466-24CP,6,2024 Apr 26 12:00:00 AM,,,Completed,465 N 45TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004466-24CP,False,False,True,,,rent increase
004582-24CP,6,2024 Apr 30 12:00:00 AM,,,Completed,6900 EAST GREEN LAKE WAY N,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004582-24CP,False,False,True,,,rent increase
004664-24CP,6,2024 May 02 12:00:00 AM,,,Completed,4131 PHINNEY AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004664-24CP,False,False,True,,,rent increase
004709-24CP,6,2024 May 03 12:00:00 AM,,,Completed,3647 35TH AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004709-24CP,False,True,False,,threaten,
005686-24CP,6,2024 May 30 12:00:00 AM,,,Completed,1701 NW 56TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005686-24CP,False,False,True,,,rent increase
005809-24CP,6,2024 Jun 03 12:00:00 AM,,,Completed,6200 6TH AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005809-24CP,False,False,True,,,rent increase
005899-24CP,6,2024 Jun 05 12:00:00 AM,,,Under Investigation,7555 17TH AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005899-24CP,False,False,True,,,rent increase
005910-24CP,6,2024 Jun 05 12:00:00 AM,,,Completed,419 NE 71ST ST,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005910-24CP,False,False,True,,,rent increase
006004-24CP,6,2024 Jun 07 12:00:00 AM,,,Closed,2635 NW 88TH ST,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006004-24CP,False,False,True,,,rent increase
006006-24CP,6,2024 Jun 07 12:00:00 AM,,,Completed,1545 NW MARKET ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006006-24CP,False,False,True,,,rent increase
006135-24CP,6,2024 Jun 11 12:00:00 AM,,,Completed,3601 GREENWOOD AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006135-24CP,False,False,True,,,rent increase
006307-24CP,6,2024 Jun 14 12:00:00 AM,,,Completed,2029 NW 61ST ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006307-24CP,False,False,True,,,rent increase
006682-24CP,6,2024 Jun 24 12:00:00 AM,,,Closed,1125 A NW 56TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006682-24CP,False,False,True,,,rent increase|without proper notice
006828-24CP,6,2024 Jun 26 12:00:00 AM,,,Completed,4913 EVANSTON AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006828-24CP,False,False,True,,,notice to vacate
007064-24CP,6,2024 Jul 01 12:00:00 AM,,,Completed,1701 NW 56TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007064-24CP,False,False,True,,,rent increase
007358-24CP,6,2024 Jul 09 12:00:00 AM,,,Closed,546 NE RAVENNA BLVD,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007358-24CP,False,False,True,,,rent increase
007361-24CP,6,2024 Jul 09 12:00:00 AM,,,Completed,2124 N 64TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007361-24CP,False,False,True,,,rent increase
007496-24CP,6,2024 Jul 11 12:00:00 AM,,,Closed,8551 GREENWOOD AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007496-24CP,False,False,True,,,rent increase
007792-24CP,6,2024 Jul 18 12:00:00 AM,,,Completed,3635 FRANCIS AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007792-24CP,False,False,True,,,rent increase
007803-24CP,6,2024 Jul 19 12:00:00 AM,,,Completed,6508 8TH AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007803-24CP,False,False,True,,,eviction notice
008244-24CP,6,2024 Jul 29 12:00:00 AM,,,Completed,2828 NW 65TH ST,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008244-24CP,False,False,True,,,rent increase
008293-24CP,6,2024 Jul 31 12:00:00 AM,,,Completed,2109 N 63RD ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008293-24CP,False,False,True,,,rent increase
008458-24CP,6,2024 Aug 05 12:00:00 AM,,,Under Investigation,620 N 34TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008458-24CP,False,False,True,,,rent increase
008460-24CP,6,2024 Aug 05 12:00:00 AM,,,Completed,2035 NW 63RD ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008460-24CP,False,False,True,,,rent increase
008735-24CP,6,2024 Aug 09 12:00:00 AM,,,Completed,5007 2ND AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008735-24CP,False,False,True,,,rent increase
008758-24CP,6,2024 Aug 09 12:00:00 AM,,,Closed,604 N 49TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008758-24CP,False,False,True,,,rent increase
008868-24CP,6,2024 Aug 12 12:00:00 AM,,,Completed,1701 NW 56TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008868-24CP,False,False,True,,,pay or vacate
009239-24CP,6,2024 Aug 20 12:00:00 AM,,,Under Investigation,6900 EAST GREEN LAKE WAY N,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009239-24CP,False,False,True,,,rent increase
009791-24CP,6,2024 Sep 03 12:00:00 AM,,,Completed,2424 NW 59TH ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009791-24CP,False,False,True,,,rent increase
009820-24CP,6,2024 Sep 04 12:00:00 AM,,,Completed,2035 NW 63RD ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009820-24CP,False,False,True,,,rent increase
009995-24CP,6,2024 Sep 09 12:00:00 AM,,,Completed,2710 W MANOR PL,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009995-24CP,False,False,True,,,rent increase
010389-24CP,6,2024 Sep 16 12:00:00 AM,,,Closed,4232 EVANSTON AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010389-24CP,False,False,True,,,without proper notice
010494-24CP,6,2024 Sep 18 12:00:00 AM,,,Completed,6860 EAST GREEN LAKE WAY N,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010494-24CP,False,False,True,,,rent increase
010701-24CP,6,2024 Sep 23 12:00:00 AM,,,Completed,100 N 39TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010701-24CP,False,False,True,,,rent increase
