"Address","Zip","District","TotalComplaintRecs","SevereConditions","DisplacementNotices","EvictionNotices","OpenUnresolved","NoHeatComplaints","NoWaterComplaints","SewageComplaints","PermitMatch","TotalPermits","Demolitions","ECA_Exemptions","Add_Alterations","New_Construction","ChangeOfUse","HousingUnitsRemoved","HousingUnitsAdded","OwnerOccClaims","FirstSevereDate","FirstDisplacementDate","FirstDemoPermitDate","LastPermitDate","SevereBeforeDemo","DispNearDemo","YearsActive","Typology"
"1902 2ND AVE","98101","7","60","26","6","4","20","8","1","0","1","12","0","0","10","0","0","0","0","0","2013 MAR 04 12:00:00 AM","2021 FEB 19 12:00:00 AM","","2013-08-27","0","0","2009;2011;2012;2013;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|PermitNeglector"
"13751 32ND AVE NE","98125","5","46","25","3","3","7","4","0","3","0","0","0","0","0","0","0","0","0","0","2013 JAN 08 12:00:00 AM","2022 MAR 10 12:00:00 AM","","","0","0","2009;2010;2011;2013;2016;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"7429 RAINIER AVE S","98118","2","28","25","3","2","3","0","3","0","1","2","0","0","1","0","0","0","0","0","2004 DEC 01 12:00:00 AM","2018 JUL 18 12:00:00 AM","","2019-09-20","0","0","2004;2008;2009;2011;2012;2013;2016;2017;2018;2019;2020;2021;2024","ChronicNeglector"
"823 MADISON ST","98104","7","63","24","2","1","12","7","0","2","1","18","3","0","8","0","0","0","0","0","2005 DEC 29 12:00:00 AM","2017 OCT 26 12:00:00 AM","2024-01-12","2024-02-26","1","0","2005;2006;2009;2010;2011;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024","PermitNeglector|RedevelopDisplacer|SevereBeforeDemo"
"800 JEFFERSON ST","98104","2","58","23","3","1","12","11","0","4","1","9","0","2","4","0","0","0","0","0","2006 MAY 05 12:00:00 AM","2021 NOV 09 12:00:00 AM","","2011-03-03","0","0","2006;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2023;2024;2025","PermitNeglector"
"322 20TH AVE","98122","3","43","23","0","0","4","5","4","0","1","4","0","0","3","0","0","0","0","0","2011 MAR 01 12:00:00 AM","","","2018-01-30","0","0","2011;2012;2015;2016;2017;2018;2023","ChronicNeglector|PermitNeglector"
"714 7TH AVE","98104","7","44","22","7","2","13","7","0","1","1","1","0","0","0","0","0","0","0","0","2005 OCT 06 12:00:00 AM","2018 AUG 10 12:00:00 AM","","","0","0","2005;2008;2010;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"315 SUMMIT AVE E","98102","3","39","22","1","1","7","21","0","0","0","0","0","0","0","0","0","0","0","0","2022 DEC 22 12:00:00 AM","2019 SEP 16 12:00:00 AM","","","0","0","2018;2019;2022;2023;2024;2025","ChronicNeglector"
"9400 RAINIER AVE S","98118","2","53","22","15","14","10","1","0","0","1","17","1","3","3","3","0","0","0","0","2007 JUL 23 12:00:00 AM","2022 MAR 21 12:00:00 AM","2019-10-28","2021-11-19","1","0","2007;2008;2014;2022;2023;2024;2025","PermitNeglector|RedevelopDisplacer|SevereBeforeDemo"
"212 ALASKAN WAY S","98104","1","66","21","5","5","32","8","0","1","1","4","0","0","2","0","0","0","0","0","2017 OCT 06 12:00:00 AM","2017 MAR 10 12:00:00 AM","","2019-06-13","0","0","2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"600 W OLYMPIC PL","98119","7","45","21","4","2","20","8","0","0","0","0","0","0","0","0","0","0","0","0","2019 APR 02 12:00:00 AM","2022 APR 04 12:00:00 AM","","","0","0","2004;2005;2011;2018;2019;2021;2022;2023;2024;2025","ChronicNeglector"
"9050 SEWARD PARK AVE S","98118","2","41","20","0","0","4","0","0","19","1","27","0","8","8","0","0","0","0","0","2004 MAR 16 12:00:00 AM","","","2024-03-14","0","0","2003;2004;2005;2006;2007;2014;2015;2021;2022;2023;2024;2025","PermitNeglector"
"1823 TERRY AVE","98101","7","58","20","2","0","16","14","7","0","1","17","1","0","7","3","0","0","0","0","2015 JAN 26 12:00:00 AM","2019 FEB 22 12:00:00 AM","2007-10-09","2011-09-21","0","0","2008;2012;2013;2015;2017;2019;2020;2021;2022;2023;2024;2025","PermitNeglector|RedevelopDisplacer"
"1100 UNIVERSITY ST","98101","3","58","19","5","0","18","4","1","0","1","7","0","0","5","0","0","0","0","0","2012 JUN 07 12:00:00 AM","2024 JUN 24 12:00:00 AM","","2020-02-26","0","0","2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|PermitNeglector"
"3021 SW BRADFORD ST","98126","1","42","19","5","3","18","1","0","0","0","0","0","0","0","0","0","0","0","0","2014 NOV 24 12:00:00 AM","2022 FEB 03 12:00:00 AM","","","0","0","2014;2015;2017;2018;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"418 E LORETTA PL","98102","3","47","19","5","3","9","11","0","0","1","3","0","0","2","0","0","0","0","0","2010 OCT 18 12:00:00 AM","2011 FEB 28 12:00:00 AM","","2019-02-25","0","0","2010;2011;2012;2013;2014;2015;2016;2017;2018;2021;2023;2024;2025","ChronicNeglector"
"321 BROADWAY E","98102","3","29","18","0","0","2","10","0","1","1","10","0","0","6","0","0","0","0","0","2007 AUG 15 12:00:00 AM","","","2023-02-10","0","0","2007;2008;2009;2011;2014;2019;2020;2021;2022;2023;2024","ChronicNeglector|PermitNeglector"
"5033 37TH AVE S","98118","2","33","18","0","0","3","0","0","0","1","3","0","1","1","0","0","0","0","0","2006 MAR 30 12:00:00 AM","","","2018-10-29","0","0","2006;2008;2009;2010;2011;2012;2013;2018;2019;2022;2023;2024;2025","ChronicNeglector"
"1308 12TH AVE S","98144","2","38","18","1","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","2004 AUG 06 12:00:00 AM","2016 FEB 09 12:00:00 AM","","","0","0","2004;2006;2008;2009;2010;2011;2012;2013;2014;2015;2016;2025","ChronicNeglector"
"2530 14TH AVE S","98144","2","29","18","0","0","3","1","0","3","0","0","0","0","0","0","0","0","0","0","2004 JUN 07 12:00:00 AM","","","","0","0","2004;2006;2008;2012;2013;2014;2016;2017;2018;2019;2021;2023;2025","ChronicNeglector"
"5033 BROOKLYN AVE NE","98105","4","28","18","2","1","3","8","0","2","1","4","1","0","0","1","0","0","0","0","2017 AUG 07 12:00:00 AM","2017 AUG 07 12:00:00 AM","","","0","0","2017;2021;2022;2023;2025","RedevelopDisplacer"
"4840 CALIFORNIA AVE SW","98116","1","26","17","0","0","6","2","0","0","0","0","0","0","0","0","0","0","0","0","2009 JAN 05 12:00:00 AM","","","","0","0","2008;2009;2011;2012;2013;2014;2016;2017;2018;2019;2020;2022;2023","ChronicNeglector"
"165 17TH AVE","98122","3","22","17","0","0","2","1","0","0","1","2","0","0","1","0","0","0","0","0","2004 JAN 20 12:00:00 AM","","","2014-05-15","0","0","2004;2005;2009;2013;2014;2022;2023","ChronicNeglector"
"524 BOYLSTON AVE E","98102","3","37","17","6","1","14","4","0","1","1","6","0","0","3","0","0","0","0","0","2008 MAY 20 12:00:00 AM","2015 JAN 23 12:00:00 AM","","2021-04-15","0","0","2007;2008;2015;2018;2019;2021;2022;2023;2024;2025","ChronicNeglector|PermitNeglector"
"1317 BOREN AVE","98101","3","50","17","3","2","14","9","0","1","1","2","0","0","1","0","0","0","0","0","2011 APR 04 12:00:00 AM","2019 APR 09 12:00:00 AM","","2020-05-01","0","0","2009;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"906 E JOHN ST","98102","3","31","17","3","3","9","8","0","0","0","0","0","0","0","0","0","0","0","0","2022 OCT 12 12:00:00 AM","2024 APR 12 12:00:00 AM","","","0","0","2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"14337 32ND AVE NE","98125","5","42","17","1","0","4","1","0","4","1","5","1","0","0","1","0","0","0","0","2004 OCT 29 12:00:00 AM","2018 AUG 08 12:00:00 AM","2021-01-17","2020-02-29","1","0","2004;2006;2008;2013;2014;2015;2018;2019;2020;2023;2024","RedevelopDisplacer|SevereBeforeDemo"
"155 21ST AVE","98122","3","46","17","10","1","14","1","7","0","1","1","0","0","1","0","0","0","0","0","2019 DEC 18 12:00:00 AM","2020 APR 21 12:00:00 AM","","2012-04-18","0","0","2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"517 9TH AVE","98104","2","21","16","1","1","8","15","1","0","0","0","0","0","0","0","0","0","0","0","2015 JUN 04 12:00:00 AM","2025 FEB 24 12:00:00 AM","","","0","0","2015;2019;2021;2022;2023;2025","ChronicNeglector"
"555 S CLOVERDALE ST","98108","1","27","16","1","0","2","0","1","0","1","1","0","0","0","0","0","0","0","0","2004 SEP 01 12:00:00 AM","2010 JAN 22 12:00:00 AM","","2025-09-16","0","0","2004;2007;2010;2011;2012;2014;2015;2021;2022;2023;2024","ChronicNeglector"
"1257 S CLOVERDALE ST","98108","1","24","16","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","2013 AUG 07 12:00:00 AM","","","","0","0","2013;2014;2015;2016","ChronicNeglector"
"6285 AIRPORT WAY S","98108","1","23","16","4","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","2013 APR 11 12:00:00 AM","2014 JAN 24 12:00:00 AM","","","0","0","2013;2014;2016;2018;2019;2020;2021;2022;2023;2025","ChronicNeglector"
"1718 MELROSE AVE","98122","3","39","16","2","2","12","0","0","2","1","2","0","0","1","0","0","0","0","0","2003 NOV 10 12:00:00 AM","2022 AUG 03 12:00:00 AM","","2020-08-24","0","0","2003;2004;2008;2011;2014;2015;2016;2017;2018;2021;2022;2023;2024;2025","ChronicNeglector"
"110 VINE ST","98121","7","30","16","1","0","12","2","0","0","0","0","0","0","0","0","0","0","0","0","2004 SEP 27 12:00:00 AM","2014 DEC 02 12:00:00 AM","","","0","0","2004;2005;2007;2010;2013;2014;2019;2020;2022;2023;2024;2025","ChronicNeglector"
"213 1ST AVE S","98104","1","29","16","3","1","4","7","0","0","1","5","0","1","1","0","0","0","0","0","2011 JAN 12 12:00:00 AM","2014 OCT 10 12:00:00 AM","","2010-03-31","0","0","2011;2013;2014;2018;2019;2020;2022;2023;2024","ChronicNeglector|UtilityLever"
"7325 RAINIER AVE S","98118","2","36","16","4","2","10","0","1","0","0","0","0","0","0","0","0","0","0","0","2011 MAY 23 12:00:00 AM","2015 FEB 27 12:00:00 AM","","","0","0","2006;2011;2015;2017;2019;2022;2023;2024","ChronicNeglector"
"416 E HARRISON ST","98102","3","29","16","1","0","1","6","0","0","1","7","3","0","1","1","0","0","0","0","2004 SEP 17 12:00:00 AM","2007 DEC 10 12:00:00 AM","2014-08-15","2011-07-26","1","0","2004;2006;2007;2011;2016;2017;2018;2020;2022;2023;2025","PermitNeglector|RedevelopDisplacer|SevereBeforeDemo"
"5913 RAINIER AVE S","98118","2","38","16","10","8","5","2","0","0","1","20","0","0","10","0","0","0","0","0","2004 AUG 27 12:00:00 AM","2015 OCT 08 12:00:00 AM","","2021-08-16","0","0","2004;2006;2007;2009;2012;2013;2014;2015;2016;2018;2019;2020;2022;2025","ChronicNeglector|PermitNeglector"
"3642 33RD AVE S","98144","2","72","16","3","2","21","1","0","0","1","11","0","0","7","0","0","0","0","0","2015 JUL 13 12:00:00 AM","2019 AUG 02 12:00:00 AM","","2016-11-14","0","0","2007;2008;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|PermitNeglector"
"9103 8TH AVE S","98108","1","49","16","2","1","10","2","0","5","1","10","2","0","0","3","0","0","0","0","2015 JUL 23 12:00:00 AM","2016 MAR 03 12:00:00 AM","2022-10-05","2022-10-05","1","0","2005;2009;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025","RedevelopDisplacer|SevereBeforeDemo"
"2230 4TH AVE","98121","7","30","15","2","1","10","4","0","0","1","2","0","0","1","0","0","0","0","0","2011 NOV 02 12:00:00 AM","2017 FEB 08 12:00:00 AM","","2022-12-30","0","0","2006;2011;2016;2017;2018;2021;2022;2023;2024;2025","ChronicNeglector"
"11038 LAKE CITY WAY NE","98125","5","37","15","8","6","18","0","0","0","1","1","0","0","1","0","0","0","0","0","2007 JAN 10 12:00:00 AM","2014 JUL 16 12:00:00 AM","","2014-06-01","0","0","2007;2009;2011;2012;2014;2015;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"747 N 135TH ST","98133","5","55","15","8","3","12","3","1","0","1","14","0","2","10","0","0","0","0","0","2010 AUG 30 12:00:00 AM","2023 NOV 03 12:00:00 AM","","2013-12-19","0","0","2004;2006;2010;2012;2014;2015;2016;2017;2018;2019;2021;2022;2023;2024;2025","PermitNeglector"
"3430 RENTON PL S","98144","2","33","15","2","1","4","0","0","2","1","6","0","0","6","0","0","0","0","0","2006 AUG 03 12:00:00 AM","2024 FEB 05 12:00:00 AM","","2009-05-01","0","0","2006;2007;2008;2010;2011;2012;2013;2014;2015;2016;2021;2022;2023;2024;2025","ChronicNeglector|PermitNeglector"
"1412 SUMMIT AVE","98122","3","41","15","5","4","13","9","1","0","1","4","0","0","2","0","0","0","0","0","2013 DEC 20 12:00:00 AM","2019 MAR 13 12:00:00 AM","","2024-04-24","0","0","2013;2014;2015;2016;2017;2019;2020;2022;2023;2024;2025","ChronicNeglector"
"1512 BOYLSTON AVE","98122","3","31","15","3","2","5","6","0","3","0","0","0","0","0","0","0","0","0","0","2006 NOV 02 12:00:00 AM","2017 FEB 15 12:00:00 AM","","","0","0","2006;2011;2012;2013;2014;2015;2017;2018;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"4238 12TH AVE NE","98105","4","29","15","6","0","1","6","0","3","1","5","1","0","3","1","0","0","0","0","2008 FEB 11 12:00:00 AM","2008 FEB 11 12:00:00 AM","2020-12-21","2013-07-03","1","0","2008;2009;2010;2011;2012;2013;2014;2018;2019","PermitNeglector|RedevelopDisplacer|SevereBeforeDemo"
"2302 4TH AVE","98121","7","28","15","1","0","4","7","3","0","1","12","2","0","0","5","0","0","0","0","2004 APR 05 12:00:00 AM","2013 MAY 24 12:00:00 AM","2020-03-04","2019-09-16","1","0","2004;2005;2006;2009;2012;2013;2015;2017;2019;2020;2022;2024","RedevelopDisplacer|SevereBeforeDemo"
"510 BROADWAY","98122","2","44","15","8","5","11","7","0","0","1","7","0","0","3","0","0","0","0","0","2008 AUG 25 12:00:00 AM","2017 AUG 28 12:00:00 AM","","2020-02-12","0","0","2006;2008;2012;2013;2017;2018;2019;2021;2022;2023;2024;2025","ChronicNeglector|PermitNeglector"
"1019 E PIKE ST","98122","3","23","15","1","1","2","7","0","0","1","4","0","0","2","0","0","0","0","0","2012 OCT 03 12:00:00 AM","2025 OCT 22 12:00:00 AM","","2019-11-15","0","0","2005;2012;2013;2015;2017;2019;2020;2021;2022;2025","ChronicNeglector"
"80 STEWART ST","98101","7","36","14","7","3","17","2","0","0","1","2","0","0","1","0","0","0","0","0","2008 DEC 31 12:00:00 AM","2020 JAN 27 12:00:00 AM","","2023-05-09","0","0","2007;2008;2017;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"223 YESLER WAY","98104","1","68","14","12","0","32","14","1","0","1","4","0","0","2","0","0","0","0","0","2012 FEB 02 12:00:00 AM","2016 DEC 13 12:00:00 AM","","2019-03-15","0","0","2007;2008;2009;2010;2012;2013;2015;2016;2017;2018;2019;2020;2023;2024;2025","ChronicNeglector"
"600 9TH AVE","98104","3","39","14","2","0","21","12","0","0","0","0","0","0","0","0","0","0","0","0","2022 FEB 02 12:00:00 AM","2024 APR 23 12:00:00 AM","","","0","0","2013;2017;2018;2022;2023;2024;2025","ChronicNeglector"
"1410 S COLUMBIAN WAY","98144","2","36","14","2","1","5","1","0","0","1","3","0","0","2","0","0","0","0","0","2008 AUG 18 12:00:00 AM","2017 MAR 06 12:00:00 AM","","2017-02-28","0","0","2008;2010;2011;2012;2013;2016;2017;2019;2023;2024","ChronicNeglector"
"504 E DENNY WAY","98122","3","40","14","3","1","15","2","1","2","1","17","0","0","9","0","0","0","0","0","2006 JUL 11 12:00:00 AM","2020 FEB 05 12:00:00 AM","","2019-02-25","0","0","2006;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|PermitNeglector"
"7401 RAINIER AVE S","98118","2","21","14","1","0","5","0","1","1","0","0","0","0","0","0","0","0","0","0","2009 DEC 22 12:00:00 AM","2016 FEB 23 12:00:00 AM","","","0","0","2006;2007;2009;2010;2011;2012;2015;2016;2017;2020;2022;2023;2024;2025","ChronicNeglector"
"10306 MERIDIAN AVE N","98133","5","26","14","2","2","5","0","0","0","1","11","0","0","10","0","0","0","0","0","2010 APR 22 12:00:00 AM","2022 MAR 17 12:00:00 AM","","2013-05-13","0","0","2007;2010;2011;2012;2013;2014;2015;2021;2022;2023;2024;2025","ChronicNeglector|PermitNeglector"
"2004 DEXTER AVE N","98109","7","40","14","7","4","8","2","0","2","1","14","0","0","8","0","0","0","0","0","2006 APR 12 12:00:00 AM","2022 DEC 06 12:00:00 AM","","2019-11-13","0","0","2006;2013;2014;2015;2018;2022;2023;2025","ChronicNeglector|PermitNeglector"
"920 NE 63RD ST","98115","4","18","14","0","0","7","0","0","2","0","0","0","0","0","0","0","0","0","0","2022 AUG 02 12:00:00 AM","","","","0","0","2022;2023;2024;2025","ChronicNeglector"
"1203 JAMES ST","98104","2","48","14","9","2","14","2","1","1","1","2","0","0","1","0","0","0","0","0","2010 DEC 22 12:00:00 AM","2013 FEB 04 12:00:00 AM","","2019-11-04","0","0","2007;2009;2010;2012;2013;2015;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"2602 4TH AVE","98121","7","35","14","3","0","10","2","0","0","1","3","0","0","2","0","0","0","0","0","2011 APR 18 12:00:00 AM","2011 NOV 29 12:00:00 AM","","2014-11-05","0","0","2009;2011;2012;2013;2015;2019;2021;2022;2023;2024;2025","ChronicNeglector"
"14033 32ND AVE NE","98125","5","19","14","2","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","2014 FEB 24 12:00:00 AM","2023 JUL 12 12:00:00 AM","","","0","0","2014;2021;2022;2023;2024;2025","ChronicNeglector"
"4106 DELRIDGE WAY SW","98106","1","33","14","0","0","1","0","0","0","1","6","0","1","0","1","0","0","0","0","2007 JUL 16 12:00:00 AM","","","","0","0","2007;2009;2012;2013;2014;2015;2016;2018;2019;2020;2022;2023;2025","ChronicNeglector"
"420 PONTIUS AVE N","98109","7","50","14","3","1","18","16","0","1","1","10","1","0","2","1","0","0","0","0","2020 FEB 17 12:00:00 AM","2021 JAN 06 12:00:00 AM","2012-02-16","2014-11-03","0","0","2012;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","PermitNeglector|RedevelopDisplacer"
"2224 2ND AVE","98121","7","68","14","7","3","6","3","0","2","1","14","1","0","4","0","0","0","0","0","2005 NOV 28 12:00:00 AM","2007 OCT 29 12:00:00 AM","2022-05-17","2020-06-10","1","0","2005;2006;2007;2008;2009;2013;2015;2016;2017;2019;2020;2022;2024;2025","PermitNeglector|RedevelopDisplacer|SevereBeforeDemo"
"6334 RAINIER AVE S","98118","2","35","14","4","4","6","1","0","0","1","1","0","0","1","0","0","0","0","0","2005 AUG 09 12:00:00 AM","2018 APR 06 12:00:00 AM","","2013-02-13","0","0","2005;2008;2011;2012;2013;2014;2015;2018;2019;2020;2021;2022;2024","ChronicNeglector"
"9427 25TH AVE NE","98115","4","27","14","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2004 APR 21 12:00:00 AM","","","","0","0","2004;2005;2008;2011;2012;2014;2015;2016;2017;2018;2019","ChronicNeglector"
"7900 RAINIER AVE S","98118","2","18","14","0","0","2","2","1","0","1","2","0","0","1","0","0","0","0","0","2014 FEB 19 12:00:00 AM","","","2017-03-22","0","0","2006;2014;2016;2017;2018;2021;2023;2024","ChronicNeglector"
"600 SW KENYON ST","98106","1","29","13","4","2","3","0","0","0","1","27","0","0","26","0","0","0","0","0","2004 MAY 13 12:00:00 AM","2006 NOV 21 12:00:00 AM","","2006-01-23","0","0","2004;2005;2006;2007;2014;2018;2019;2020;2022;2023;2025","ChronicNeglector|PermitNeglector"
"101 W OLYMPIC PL","98119","7","32","13","3","1","19","6","1","0","0","0","0","0","0","0","0","0","0","0","2012 DEC 06 12:00:00 AM","2020 FEB 27 12:00:00 AM","","","0","0","2012;2018;2019;2020;2022;2023;2024;2025","ChronicNeglector"
"9252 17TH AVE SW","98106","1","25","13","6","1","9","2","0","0","0","0","0","0","0","0","0","0","0","0","2004 JAN 30 12:00:00 AM","2021 OCT 13 12:00:00 AM","","","0","0","2004;2009;2015;2016;2017;2021;2022;2023;2024;2025","ChronicNeglector"
"903 UNION ST","98101","3","65","13","9","4","17","8","0","1","1","2","0","0","1","0","0","0","0","0","2004 SEP 17 12:00:00 AM","2016 APR 06 12:00:00 AM","","2016-10-27","0","0","2004;2005;2007;2008;2009;2011;2012;2014;2015;2016;2017;2018;2019;2021;2022;2023;2024;2025","ChronicNeglector"
"618 NW 58TH ST","98107","6","45","13","1","1","12","4","2","6","0","0","0","0","0","0","0","0","0","0","2006 MAR 01 12:00:00 AM","2022 OCT 26 12:00:00 AM","","","0","0","2006;2007;2008;2009;2010;2017;2018;2019;2020;2021;2022;2024;2025","ChronicNeglector"
"4134 11TH AVE NE","98105","4","32","13","3","2","11","3","0","1","1","2","0","0","1","0","0","0","0","0","2020 OCT 19 12:00:00 AM","2022 SEP 06 12:00:00 AM","","2016-03-07","0","0","2016;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"2245 YALE AVE E","98102","3","27","13","1","0","2","3","1","0","0","0","0","0","0","0","0","0","0","0","2012 JUL 10 12:00:00 AM","2010 SEP 24 12:00:00 AM","","","0","0","2010;2012;2014;2016;2019;2021;2024;2025","ChronicNeglector"
"1311 W NEWTON ST","98119","7","28","13","9","0","4","0","0","0","1","5","1","1","0","1","0","0","0","0","2021 DEC 14 12:00:00 AM","2024 AUG 09 12:00:00 AM","2019-05-22","2019-05-22","0","0","2019;2020;2021;2022;2023;2024","RedevelopDisplacer"
"103 13TH AVE E","98102","3","38","13","3","0","6","8","0","0","1","2","0","0","1","0","0","0","0","0","2007 MAY 02 12:00:00 AM","2017 JUL 03 12:00:00 AM","","2019-04-16","0","0","2007;2010;2012;2013;2014;2017;2018;2019;2021;2022;2023;2025","ChronicNeglector"
"110 W OLYMPIC PL","98119","7","31","13","1","1","4","1","0","1","1","2","0","0","1","0","0","0","0","0","2005 JAN 26 12:00:00 AM","2022 APR 07 12:00:00 AM","","2020-01-23","0","0","2005;2006;2007;2008;2009;2010;2013;2019;2022;2023;2024;2025","ChronicNeglector"
"4547 19TH AVE NE","98105","4","46","13","3","1","3","1","0","2","0","0","0","0","0","0","0","0","0","0","2004 NOV 02 12:00:00 AM","2021 JUN 03 12:00:00 AM","","","0","0","2004;2005;2006;2007;2008;2015;2016;2017;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
