RECORDNUM,ADDRESS,ZIP,DISTRICT,OPENDATE,OPENYEAR,STATUS,LASTINSPRESULT,RECORDTYPE,CATEGORIES,HIT_PHRASES,HAS_PERMIT_OVERLAP,DESCRIPTION_SNIPPET
"001363-03CP","8122 15TH AVE SW","98106","1","2003 DEC 19 12:00:00 AM","2003","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","ADDING A BIG ADDITION AT THE REAR OF THE HOUSE WITHOUT A PERMIT. CAN BE VIEWED FROM THE ALLEY."
"001367-03CP","8201 NORTHROP PL SW","98136","1","2003 DEC 19 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","GRADING WITHOUT A PERMIT."
"001369-03CP","9815 44TH AVE SW","98136","1","2003 DEC 19 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","GUTTING THE INSIDE OF THE HOUSE. EXTENSIVE REMODELING TAKING PLACE WITHOUT A PERMIT."
"001384-03CP","539 S TRENTON ST","98108","1","2003 DEC 22 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","BUILDING ADDITION ON EAST SIDE OF HOUSE WITHOUT A PERMIT (ALSO DID EXTENSIVE REMODELING WITHOUT A PERMIT)."
"001389-03CP","7736 12TH AVE SW","98106","1","2003 DEC 23 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","LAST WEEK STARTED TO BUILD AN ADDITION (POSSIBLY AN EXTRA UNIT) ON THE NORTH SIDE OF THE HOUSE - THE HOLE IN THE WALL IS COVERED BY PLASTIC MATERIAL.  WOOD SCRAPS AND OTHER CONSTRUCTION MATERIALS IN BACK YARD. COMPLETING A STAIRWELL ON THE NORTH SIDE"
"001425-03CP","14046 MIDVALE AVE N","98133","5","2003 DEC 29 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WORK WITHOUT PERMIT","YES","WORK WITHOUT PERMIT--DOING MORE THAN $4,000 WORTH OF WORK WITHOUT AN ISSUED PERMIT."
"001430-03CP","2011 24TH AVE S","98144","2","2003 DEC 29 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","CHURCH BUILT PARKING LOT WITHOUT A PERMIT AND CAUSES A GREAT DEAL OF RUN-OFF TO THE NEIGHBOR'S PROPERTY TO THE SOUTH AND TOWARDS THE SIDEWALK. COMPLAINANT SPOKE WITH KEVIN DONNELLY AND KEVIN SAID HE SHOULD FILE THIS COMPLAINT."
"1001094-VI","1635 2ND AVE W","98119","7","2003 DEC 04 12:00:00 AM","2003","COMPLETED","COMPLIANCE ACHIEVED","CASE","WORK_WITHOUT_PERMIT","NO PERMIT","YES","ALL WALLS ARE TORN DOWN TO THE STUDS.  ADDING 5 FEET IN THE BACK TO THE KITCHEN.  NO PERMITS.  NEW OWNER."
"1001139-VI","7907 48TH AVE S","98118","2","2003 DEC 17 12:00:00 AM","2003","COMPLETED","COMPLIANCE ACHIEVED","CASE","WORK_WITHOUT_PERMIT","NO PERMIT","YES","REMODELLING BASEMENT, KITCHEN AND BEDROOM, NEW PLUMBING, NO PERMITS. VISIBLE FROM SIDEWALK."
"1001140-VI","703 24TH AVE S","98144","3","2003 DEC 17 12:00:00 AM","2003","COMPLETED","COMPLIANCE ACHIEVED","CASE","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","CONSTRUCTION WORK WITHOUT A PERMIT."
"001020-04CP","1220 N 45TH ST","98103","4","2004 JAN 05 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT|WORK_WITHOUT_PERMIT","DEMOLISH|WITHOUT A PERMIT","YES","MCDONALD'S RESTAURANT DEMOLISHED WITHOUT A PERMIT."
"001061-04CP","101 EASTLAKE AVE E","98109","7","2004 JAN 09 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","INTERIOR REMODELING AND ELECTRICAL WORK BEING DONE WITHOUT A PERMIT."
"001065-04CP","2224 BONAIR PL SW","98116","1","2004 JAN 12 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","BUILDING A RETAINING WALL IN AN ECA WITHOUT A PERMIT."
"001082-04CP","2817 13TH AVE S","98144","2","2004 JAN 12 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WORK WITHOUT PERMIT","YES","WORK WITHOUT PERMIT: JACKHAMMERED OUT TWO NEW WINDOWS IN THE FRONT OF THE HOUSE IN THE BASEMENT. CAN SEE CONSTRUCTION DEBRIS IN BACKYARD FROM THE ALLEY. HAVE BEEN JACKHAMMERING IN THE BASEMENT THROUGH THE WEEKEND AND TODAY. COMPLAINANT THINKS OWNERS "
"001088-04CP","1515 NW LEARY WAY","98107","6","2004 JAN 13 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLITION","YES","HUGE MUD PUDDLE ABUTTING HIS PROPERTY FROM NEIGHBORING DEMOLITION. CONCERNED THAT MOISTURE MIGHT ERODE THE FOOTINGS OF HIS BUILDING."
"001144-04CP","4037 HILLCREST AVE SW","98116","1","2004 JAN 20 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WORK WITHOUT PERMIT","YES","WORK WITHOUT PERMITS IN ECA INCLUDING:*REMOVED LOWER DECK ON WEST SIDE*REMOVED PORTION OF UPPER DECK ON WEST SIDE*REMOVED PLUMBING*REMOVED KITCHEN*INSTALLED SKYLIGHTS*EVIDENCE OF ELECTRICAL WORK*PLANNING TO INSTALL INTERIOR SPIRAL STAIRCASE TO BASEME"
"001161-04CP","5425 RUSSELL AVE NW","98107","6","2004 JAN 20 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","WORK OCCURRING WITHOUT A PERMIT: WALLS BEING MOVED AND LOTS OF BUILDING MATERIALS BEING BROUGHT IN."
"001162-04CP","2521 E MILLER ST","98112","3","2004 JAN 21 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","POURED 20 X 30 FOOT CONCRETE SLAB - 6 TO 8 FEET ABOVE GRADE IN SOME PLACES - IN BACK YARD LAST WEEK. CURRENTLY ADDING 15 X 30 FOOT ADDITION TO PRINCIPAL STRUCTURE IN BACK. VISIBLE FROM STREET. NO PERMITS."
"001163-04CP","3108 NE 117TH ST","98125","5","2004 JAN 21 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","TREE CUTTING OCCURRING NEAR THORTON CREEK WITHOUT A PERMIT: DOUGLAS FIR IN RIPARIAN CORRIDOR."
"001164-04CP","3114 NE 117TH ST","98125","5","2004 JAN 21 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","TREE CUTTING OCCURRING NEAR THORTON CREEK WITHOUT A PERMIT: DOUGLAS FIR IN RIPARIAN CORRIDOR."
"001185-04CP","1917 SUNSET AVE SW","98116","1","2004 JAN 21 12:00:00 AM","2004","CLOSED","","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","BUILDING A DECK IN THE REAR YARD WITHOUT A PERMIT. CAN BE VIEWED FROM BONAIRE DR. SW"
"001258-04CP","4802 47TH AVE SW","98116","1","2004 JAN 28 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","CONSTRUCTED A CARPORT WITHOUT A PERMIT"
"001307-04CP","331 15TH AVE","98122","3","2004 FEB 02 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WORK WITHOUT PERMIT","YES","BUILT ADDITION ONTO FRONT OF HOUSE WITHOUT PERMITS OR PLANS, ONGOING ELECTRICAL, PLUMBING AND HEATING WORK WITHOUT PERMITS."
"001327-04CP","8351 10TH AVE NW","98117","6","2004 FEB 03 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","SIDE SEWER WORK WITHOUT A PERMIT. REFERRED BY KEVIN DONNELLY."
"001379-04CP","4021 13TH AVE S","98108","2","2004 FEB 09 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLISH","YES","LIFTED THE HOME OFF OF IT'S FOUNDATION & DEMOLISHING THE INSIDES W/O A PERMIT."
"001390-04CP","3432 38TH AVE SW","98126","1","2004 FEB 09 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","UNPERMITTED","YES","UNPERMITTED SIDE SEWER WORK OCCURING AT SITE."
"001392-04CP","4902 AURORA AVE N","98103","4","2004 FEB 09 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","MOLD_MOISTURE","MOLD","YES","TEARING OUT THREE APARTMENTS (REMOVING WALLS) AND REBUILDING BECAUSE OF MOLD DAMAGE WITHOUT PERMITS. TOP TWO FLOORS OF BUILDING HAVE CHUTE OUT THE WINDOW (EASY TO SEE).APARTMENT BUILDING NOW CALLED ""SANTORINI AT THE PARK"" AND USED TO BE CALLED ""WOODL"
"001406-04CP","4037 HILLCREST AVE SW","98116","1","2004 FEB 10 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WORK WITHOUT PERMIT","YES","ELECTRICAL WORK WITHOUT PERMIT. ON 1/26/04 BUILDING INSPECTOR GEORGE WALLACE NOTIFIED THE HOMEOWNER VIA AN ELECTRICIAN WORKING ON THE HOME THAT AN ELECTRICAL PERMIT WAS REQUIRED FOR THE WORK BEING DONE. A BUILDING PERMIT (#740311) FOR INSTALLING DRYW"
"001411-04CP","904 ELLIOTT AVE W","98119","7","2004 FEB 10 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","BUILDING A LARGE SHED ATTACHED TO THE MAIN STRUCTURE WITHOUT A PERMIT."
"001419-04CP","8022 45TH AVE SW","98136","1","2004 FEB 11 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","NO PERMITS (APPLICATIONS ONLY). CLEARED SEVERAL TREES 2 MOS AGO IN STEEP SLOPE/POTENTIAL SLIDE AREA. CURRENTLY BULLDOZING AND GRADING LAND."
"001443-04CP","8321 11TH AVE NW","98117","6","2004 FEB 13 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","JOYCE WHITE CAME TO KEY TOWER ON 2/12/04 UPSET ABOUT WORK OCCURRING WITHOUT A PERMIT.RICK JOHNSON/DPD SENT SITE INSPECTOR TAWNI HOANG TO INVESTIGATE WORK W/O PERMITS ON 2/12/04."
"001448-04CP","2541 NE 85TH ST","98115","4","2004 FEB 13 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLISH","YES","REFERRED TO CODE COMPLIANCE BY PERMIT SPECIALIST.  YESTERDAY, DEMOLISHED GARAGE AND STARTED TO GRADE W/O PERMIT."
"001455-04CP","2828 43RD AVE W","98199","6","2004 FEB 13 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","EXTERIOR STAIRS WITHOUT A PERMIT AND WORK WITH AN EXPIRED PERMIT (#722333).COMPLAINANT FEELS THAT DPD IS ""IN COLLUSION"" WITH PROPERTY OWNERS AND CONTRACTORS IN THIS AREA OF SEATTLE. THE COMPLAINANT ASKED ME ABOUT RESPONSE TIME (THE TIME IT TAKES BETW"
"001467-04CP","1216 26TH AVE E","98112","3","2004 FEB 17 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","REMOVED TREES AND VEGETATION FROM SITE (MORE THAN 750 SQ. FT.) LAST WEDNESDAY (2/11/04) WITHOUT A PERMIT. VERY CONCERNED ABOUT HOW THE VEGETATION AND TREE REMOVAL WILL AFFECT ADJACENT PROPERTIES."
"001469-04CP","4818 SW DAWSON ST","98136","1","2004 FEB 17 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT|WORK_WITHOUT_PERMIT","DEMOLISH|NO PERMIT","YES","DEMOLISHED GARAGE THAT WAS LOCATED IN THE SW CORNER. LAID CONCRETE PAD, AND PUTTING UP A WALL TO NEW STRUCTURE LOCATED WHERE THE OLD GARAGE USED TO BE.  DUG A DITCH ALONG THE WEST PROPERTY LINE FROM THE NEW STRUCTURE TO THE NW CORNER.  NO PERMITS."
"001485-04CP","5117 S DAWSON ST","98118","2","2004 FEB 19 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT|WORK_WITHOUT_PERMIT","TEARING DOWN|WITHOUT A PERMIT","YES","TEARING DOWN 1/3 OF THE FOUNDATION OF A SF HOUSE AND REHABING THE HOUSE WITHOUT A PERMIT."
"001531-04CP","14000 NORTHWOOD PL NW","98177","5","2004 FEB 23 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","CUTTING TREES IN AN ECA 1 (STEEP SLOPE) WITHOUT A PERMIT."
"001540-04CP","7756 4TH AVE NE","98115","4","2004 FEB 23 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","DIGGING DEEP HOLE AROUND HOUSE AND UP TO NEIGHBOR'S FENCE--CONCERNED THAT HOMEOWNER IS PUTTING IN A SWIMMING POOL OR SOMETHING WITHOUT A PERMIT.CAN VIEW FROM DECK OF 7748-4TH AVENUE NE (HOUSE IS FOR SALE)."
"001546-04CP","1223 W BOTHWELL ST","98119","7","2004 FEB 23 12:00:00 AM","2004","CLOSED","","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","AN 8' TALL FENCE IS IN THE PROCESS OF BEING CONSTRUCTED ON TOP OF A 3' TALL CINDER BLOCK RETAINING WALL WITHOUT A PERMIT ALONG THE WEST PROPERTY LINE. VIEW FROM W. BOTHWELL ST.A DECK (APPROX. 20' X 8' AND 6' TO 8' OFF THE GROUND) WAS CONSTRUCTED IN T"
"001554-04CP","1610 PALM AVE SW","98116","1","2004 FEB 24 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","WORK/REMODEL WITHOUT A PERMIT."
"001566-04CP","6023 BEACH DR SW","98136","1","2004 FEB 24 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","DEMO WITHOUT A PERMIT."
"001579-04CP","124 S WASHINGTON ST","98104","1","2004 FEB 25 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WORK WITHOUT PERMIT","YES","WORK WITHOUT PERMIT IN BASEMENT (ENLARGING SPACE) OF THE LAST SUPPER CLUB. WORK OCCURS IN EVENIGS AND ON WEEKENDS."
"001580-04CP","118 S WASHINGTON ST","98104","1","2004 FEB 25 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WORK WITHOUT PERMIT","YES","WORK WITHOUT PERMIT IN BASEMENT (ENLARGING SPACE) OF THE LAST SUPPER CLUB. WORK OCCURS IN EVENIGS AND ON WEEKENDS."
"001582-04CP","2025 24TH AVE E","98112","3","2004 FEB 25 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","GRADING AND CONSTRUCTION WORK IN ECA - NO PERMITS.  (SEE ATTACHED ONLINE COMPLAINT)"
"001583-04CP","8820 AURORA AVE N","98103","5","2004 FEB 25 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLISH","YES","CALLING ON BEHALF OF THE BUSINESS ASSOCIATION FOR THE AURORA AVE. N. BUSINESSES. CONCERNED ABOUT DEMO--DEMO DONE SEVERAL MONTHS AGO AND SINCE THEN THE SITE HAS HAD A CARETAKER AND A FENCE AROUND THE DEMOLISHED BUILDING. IN THE PAST WEEK THE FENCE HAS"
"001595-04CP","14122 EVANSTON AVE N","98133","5","2004 FEB 26 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","TURNING ATTACHED CARPORT INTO BEDROOM.  RECENTLY RAISED FRONT OF HOUSE 4-5 FEET, NOW PUTTING ON ROOF.  NO PERMITS."
"001597-04CP","10708 NORTH PARK AVE N","98133","5","2004 FEB 26 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","MOVED 40 X 50 FT PORTABLE GARAGE INTO REAR YARD (SE CORNER). SITTING ON PIER BLOCKS.  NO PERMIT."
"001631-04CP","404 NE 50TH ST","98105","6","2004 MAR 01 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","NEW OWNER REMODELLING HOUSE FOR TWO MONTHS - HAS TAKEN IT DOWN TO THE STUDS, REPLACED THE WINDOWS. TRUCK LOADS OF DRYWALL HAVE BEEN REMOVED. NO PERMITS."
"001632-04CP","9209 22ND AVE SW","98106","1","2004 MAR 01 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","OWNER GRADUALLY BUILDING 2 OR 3 STORY HOUSE. CURRENTLY NOT WORKING. FOUNDATION POURED. 3-4 FT SIDE YARDS SETBACKS. NO PERMITS."
"001674-04CP","3813 24TH AVE W","98199","6","2004 MAR 03 12:00:00 AM","2004","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","PER ONLINE COMPLAINT DATED 2/29/04: ""A NEW SEWER LINE HAS BEEN INSTALLED OVER THE WEEKEND. THE WORK WAS PERFORMED BY A CONTRACTOR ON SATURDAY AND SUNDAY AND I BELIEVE THERE WAS NO PERMIT FOR IT."""
"001675-04CP","3813 24TH AVE W","98199","6","2004 MAR 03 12:00:00 AM","2004","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","PER ONLINE COMPLAINT DATED 2/29/04: A NEW SEWER LINE HAS BEEN INSTALLED OVER THE WEEKEND. THE WORK WAS PERFORMED BY A CONTRACTOR ON SATURDAY AND SUNDAY AND I BELIEVE THERE WAS NO PERMIT FOR IT."
"001684-04CP","4017 22ND AVE SW","98106","1","2004 MAR 04 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","ADDING DECK AND CUTTING OUT DOORWAY WITHOUT A PERMIT TO TOP LEVEL OF THE WEST SIDE OF THE HOUSE.THERE IS AN EXISTING DECK ON THE MIDDLE LEVEL OF THE WEST SIDE OF THE HOUSE. THE CORRUGATED PLASTIC ROOF HAS BEEN REMOVED AND IS IN THE PROCESS OF HAVING "
"001689-04CP","2348 ALKI AVE SW","98116","1","2004 MAR 04 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","TOTAL KITCHEN REMODEL IN ALL UNITS. EXTENSIVE ELECTRICAL WORK.  NO PERMITS."
"001717-04CP","837 NW 62ND ST","98107","6","2004 MAR 08 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLISH","YES","DEMOLISHING HOUSE & REMOVED TWO (2) TREES."
"001742-04CP","3879 44TH AVE NE","98105","4","2004 MAR 09 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","PER ROSS JUNKIN'S 3/8/04 SITE INSPECTION FOR PERMIT 740453: FOOTING AND STORM DRAINS DIRECTED INTO ALLEY WITHOUT A PERMIT."
"001768-04CP","708 NW 73RD ST","98117","6","2004 MAR 10 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLISH","YES","PERMIT #728518 EXPIRED W/O FINAL INSPECTION--DETACHED GARAGE IS NOT DEMOLISHED PER PLAN"
"001780-04CP","11208 CRESTWOOD DR S","98178","2","2004 MAR 11 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","GRADING WITHOUT A PERMIT."
"001817-04CP","3053 36TH AVE SW","98126","1","2004 MAR 15 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","IN THE PROCESS OF MAKING A GARAGE INTO AN OFFICE WITHOUT A PERMIT: HAS INSTALLED 4 WINDOWS ON THE EAST SIDE AND GARAGE DOORS (FORMERLY ON THE NORTH SIDE OF THE GARAGE) HAVE BEEN REMOVED. IN THE PROCESS OF DIGGING TRENCHES FOR UTILITIES.CAN VIEW GARAG"
"001820-04CP","1111 N 92ND ST","98103","5","2004 MAR 15 12:00:00 AM","2004","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","CONSTRUCTION WITHOUT A PERMIT; ADDING 4 FEET TO EAST SIDE OF BUILDING. COMPLAINANT SAYS THERE IS A REQUIRED ""BUFFER ZONE"" BETWEEN THIS BUILDING AND HIS FATHER'S HOUSE AND THAT THIS CONSTRUCTION IS WITHIN THAT ""BUFFER ZONE.""COMPLAINANT FOUND IT INTERE"
"001831-04CP","5109 2ND AVE NW","98107","6","2004 MAR 15 12:00:00 AM","2004","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","RE-BUILDING FOUNDATION WITHOUT A PERMIT--DOESN'T LOOK SAFE."
