RecordNum,District,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,HealthSafetyHabitability,HarassmentRetaliationDisplacement,RightsViolations,HealthSafetyTermsFound,HarassmentTermsFound,RightsTermsFound
1039230-VI,7,2017 Jan 10 12:00:00 AM,,,NOV Issued,3039 HUMES PL W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1039230-VI,True,False,False,no heat|infestation|rodent|hazard|fire hazard,,
1045601-VI,7,2018 Dec 13 12:00:00 AM,2018 Dec 14 12:00:00 AM,Compliance Achieved,Completed,3435 A 21ST AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1045601-VI,True,True,False,water damage|mold,pota,
009688-19CP,7,2019 Oct 08 12:00:00 AM,2019 Oct 08 12:00:00 AM,Completed,Completed,2438 5TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009688-19CP,True,False,False,no heat|moisture,,
002356-20CP,7,2020 Mar 18 12:00:00 AM,,,Completed,62 CEDAR ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002356-20CP,True,False,False,no heat,,
003254-20CP,7,2020 Apr 22 12:00:00 AM,2020 Apr 23 12:00:00 AM,Completed,Completed,699 JOHN ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003254-20CP,True,False,False,no water,,
004289-20CP,7,2020 May 26 12:00:00 AM,2020 Jun 05 12:00:00 AM,Completed,Completed,1902 2ND AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004289-20CP,True,False,False,no heat,,
1050382-VI,7,2020 Jun 05 12:00:00 AM,2020 Jun 12 12:00:00 AM,Compliance Achieved,Completed,1902 2ND AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1050382-VI,True,False,False,no heat,,
008272-20CP,7,2020 Sep 18 12:00:00 AM,2020 Sep 18 12:00:00 AM,Completed,Completed,604 W HOWE ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008272-20CP,True,False,False,sewage,,
007679-21CP,7,2021 Sep 15 12:00:00 AM,,,Completed,2721 4TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007679-21CP,True,False,False,no heat,,
000865-22CP,7,2022 Jan 27 12:00:00 AM,2022 Jan 28 12:00:00 AM,Completed,Completed,100 ROY ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000865-22CP,True,False,False,no heat,,
001508-22CP,7,2022 Feb 17 12:00:00 AM,,,Closed,2814 1ST AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001508-22CP,True,False,False,no running water,,
1053822-VI,7,2022 Feb 17 12:00:00 AM,,,Completed,100 ROY ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1053822-VI,True,False,False,no heat,,
005611-22CP,7,2022 Jun 16 12:00:00 AM,,,Completed,100 roy ST,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005611-22CP,True,True,False,sewage|flooded,trao,
001314-23CP,7,2023 Feb 07 12:00:00 AM,2023 Feb 07 12:00:00 AM,Completed,Completed,151 JOHN ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001314-23CP,True,False,False,no heat,,
1055440-VI,7,2023 Feb 07 12:00:00 AM,2023 Feb 07 12:00:00 AM,Completed,EO Repair Restore Issued,151 JOHN ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1055440-VI,True,False,False,no heat,,
002076-23CP,7,2023 Feb 27 12:00:00 AM,2023 May 09 12:00:00 AM,Completed,Completed,1110 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002076-23CP,True,False,False,mold|black mold,,
002541-23CP,7,2023 Mar 13 12:00:00 AM,2023 Mar 13 12:00:00 AM,Completed,Completed,2838 21ST AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002541-23CP,True,False,False,no heat,,
003376-23CP,7,2023 Apr 03 12:00:00 AM,,,Closed,1624 BOREN AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003376-23CP,True,False,False,no heat,,
1055966-VI,7,2023 May 09 12:00:00 AM,2024 Aug 30 12:00:00 AM,Compliance Achieved,Completed,1102 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1055966-VI,True,False,False,leak|leaking,,
1055976-VI,7,2023 May 10 12:00:00 AM,2024 Sep 06 12:00:00 AM,Compliance Achieved,Completed,1110 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1055976-VI,True,False,False,mold|black mold,,
007010-23CP,7,2023 Jun 27 12:00:00 AM,2023 Sep 13 12:00:00 AM,Completed,Completed,702 SPRING ST,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007010-23CP,True,False,False,flooded,,
013441-23CP,7,2023 Nov 15 12:00:00 AM,2023 Nov 15 12:00:00 AM,Completed,Completed,1823 TERRY AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=013441-23CP,True,False,False,no heat,,
1057242-VI,7,2023 Nov 27 12:00:00 AM,2023 Oct 31 12:00:00 AM,Completed,Completed,85 PIKE ST,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1057242-VI,True,False,False,no power|leak|mold,,
013985-23CP,7,2023 Dec 02 12:00:00 AM,2023 Dec 07 12:00:00 AM,Completed,Completed,2602 4th AVE,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=013985-23CP,True,False,False,no heat,,
014175-23CP,7,2023 Dec 07 12:00:00 AM,,,Completed,1922 9TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014175-23CP,True,False,False,no heat,,
1057326-VI,7,2023 Dec 08 12:00:00 AM,2024 Jan 04 12:00:00 AM,Compliance Achieved-Virtual,Completed,2602 4th AVE,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1057326-VI,True,False,False,no heat,,
1057336-VI,7,2023 Dec 12 12:00:00 AM,2023 Dec 12 12:00:00 AM,Compliance Achieved,Completed,705 2ND AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1057336-VI,True,False,False,no heat,,
014388-23CP,7,2023 Dec 12 12:00:00 AM,2023 Dec 27 12:00:00 AM,Completed,Completed,22 John ST,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014388-23CP,True,False,False,leak|flooded,,
014578-23CP,7,2023 Dec 18 12:00:00 AM,,,Completed,121 VINE ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014578-23CP,False,False,True,,,eviction notice
1057441-VI,7,2023 Dec 27 12:00:00 AM,2023 Dec 18 12:00:00 AM,Completed,Completed,22 John ST,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1057441-VI,True,False,False,leak|flooded,,
000482-24CP,7,2024 Jan 12 12:00:00 AM,,,Completed,22 JOHN ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000482-24CP,True,False,False,no heat,,
000678-24CP,7,2024 Jan 17 12:00:00 AM,,,Completed,1823 TERRY AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000678-24CP,True,False,False,no heat|no water,,
002124-24CP,7,2024 Feb 24 12:00:00 AM,2024 Mar 04 12:00:00 AM,Completed,Completed,403 ROY ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002124-24CP,True,False,False,no heat,,
002460-24CP,7,2024 Mar 05 12:00:00 AM,,,Completed,221 W MERCER ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002460-24CP,True,False,False,no heat,,
003631-24CP,7,2024 Apr 05 12:00:00 AM,2024 Apr 12 12:00:00 AM,Completed,Completed,1823 MINOR AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003631-24CP,True,False,False,no heat,,
004635-24CP,7,2024 May 02 12:00:00 AM,2024 May 22 12:00:00 AM,Completed,Completed,76 CEDAR ST,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004635-24CP,True,False,False,garbage,,
1058447-VI,7,2024 May 23 12:00:00 AM,2024 Aug 15 12:00:00 AM,Compliance Achieved-Virtual,Completed,76 CEDAR ST,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1058447-VI,True,False,False,garbage,,
1058786-VI,7,2024 Jul 05 12:00:00 AM,2024 Sep 06 12:00:00 AM,Compliance Achieved,Completed,1110 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1058786-VI,True,True,True,leak|leaks|flooding,pota,tenant rights
008526-24CP,7,2024 Aug 06 12:00:00 AM,2024 Aug 13 12:00:00 AM,Completed,Completed,1200 WESTERN AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008526-24CP,True,False,False,sewage|leak|leaking,,
008645-24CP,7,2024 Aug 08 12:00:00 AM,,,Completed,1321 QUEEN ANNE AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008645-24CP,True,False,False,no electricity,,
1059090-VI,7,2024 Aug 08 12:00:00 AM,2024 Aug 15 12:00:00 AM,Compliance Achieved,Completed,1321 QUEEN ANNE AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1059090-VI,True,False,False,no electricity,,
009405-24CP,7,2024 Aug 23 12:00:00 AM,2024 Aug 23 12:00:00 AM,Completed,Completed,2204 1ST AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009405-24CP,True,False,False,no water,,
1059265-VI,7,2024 Aug 28 12:00:00 AM,,,Completed,2204 1ST AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1059265-VI,True,False,False,no water,,
012547-24CP,7,2024 Nov 06 12:00:00 AM,2024 Nov 07 12:00:00 AM,Completed,Completed,2021 4TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=012547-24CP,True,False,False,leak|water damage,,
1059758-VI,7,2024 Nov 07 12:00:00 AM,2024 Nov 13 12:00:00 AM,Compliance Achieved-Virtual,Completed,2021 4TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1059758-VI,True,False,False,leak|water damage,,
013381-24CP,7,2024 Dec 02 12:00:00 AM,2024 Dec 04 12:00:00 AM,Completed,Completed,810 HARRISON ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=013381-24CP,True,False,False,no heat,,
1059903-VI,7,2024 Dec 04 12:00:00 AM,2024 Dec 09 12:00:00 AM,Compliance Achieved,Completed,810 HARRISON ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1059903-VI,True,False,False,no heat,,
013513-24CP,7,2024 Dec 04 12:00:00 AM,2024 Dec 04 12:00:00 AM,Completed,Completed,704 SPRING ST,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=013513-24CP,True,False,False,no heat,,
1059910-VI,7,2024 Dec 04 12:00:00 AM,2024 Dec 04 12:00:00 AM,Completed,NOV Issued,810 HARRISON ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1059910-VI,True,False,False,no heat,,
1059916-VI,7,2024 Dec 05 12:00:00 AM,2025 Jan 07 12:00:00 AM,Compliance Achieved,Completed,704 SPRING ST,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1059916-VI,True,False,False,no heat,,
001622-25CP,7,2025 Feb 12 12:00:00 AM,2025 Feb 12 12:00:00 AM,Completed,Completed,2829 PROSCH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001622-25CP,True,False,False,no heat,,
1060279-VI,7,2025 Feb 12 12:00:00 AM,2025 Feb 19 12:00:00 AM,Compliance Achieved,Completed,2829 PROSCH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1060279-VI,True,False,False,no heat,,
004569-25CP,7,2025 Apr 21 12:00:00 AM,,,Completed,800 SENECA ST,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004569-25CP,True,True,False,no heat|leak|unsanitary|unsanitary conditions,pota,
006355-25CP,7,2025 May 30 12:00:00 AM,,,Closed,111 FAIRVIEW AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006355-25CP,True,False,False,sewage|leak,,
014012-25CP,7,2025 Nov 04 12:00:00 AM,2025 Nov 04 12:00:00 AM,Completed,Completed,527 EASTLAKE AVE E,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014012-25CP,True,False,False,no heat,,
014462-25CP,7,2025 Nov 13 12:00:00 AM,,,Closed,62 CEDAR ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014462-25CP,True,False,False,no heat,,
014897-25CP,7,2025 Nov 24 12:00:00 AM,2025 Nov 26 12:00:00 AM,Completed,Completed,800 SENECA ST,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014897-25CP,True,False,False,no heat,,
1062116-VI,7,2025 Nov 26 12:00:00 AM,2025 Nov 26 12:00:00 AM,Completed,EO Repair Restore Issued,800 SENECA ST,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1062116-VI,True,False,False,no heat,,
015550-25CP,7,2025 Dec 12 12:00:00 AM,2025 Dec 12 12:00:00 AM,Completed,Completed,94 BAY ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=015550-25CP,False,True,False,,retaliat,
015637-25CP,7,2025 Dec 15 12:00:00 AM,,,Completed,800 SENECA ST,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=015637-25CP,True,False,False,no water,,
015659-25CP,7,2025 Dec 16 12:00:00 AM,2025 Dec 17 12:00:00 AM,Completed,Completed,602 Terry AVE N,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=015659-25CP,True,False,False,unsafe,,
015865-25CP,7,2025 Dec 22 12:00:00 AM,,,Under Investigation,500 WALL ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=015865-25CP,True,False,False,no heat,,
015962-25CP,7,2025 Dec 23 12:00:00 AM,,,Under Investigation,1118 5TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=015962-25CP,False,False,True,,,notice to vacate
016091-25CP,7,2025 Dec 29 12:00:00 AM,,,Under Investigation,221 MINOR AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=016091-25CP,True,False,False,no heat,,
000881-21CP,7,2021 Feb 01 12:00:00 AM,2021 Feb 18 12:00:00 AM,Completed,Completed,229 1ST AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000881-21CP,True,False,True,no heat,,tenant rights
008117-22CP,7,2022 Aug 04 12:00:00 AM,,,Completed,1901 WESTERN AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008117-22CP,True,True,False,no power,threaten|lockout,
001834-23CP,7,2023 Feb 21 12:00:00 AM,,,Completed,2415 8TH AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001834-23CP,False,True,False,,retaliat|changed locks,
002653-23CP,7,2023 Mar 15 12:00:00 AM,2023 Apr 03 12:00:00 AM,No Access/Unable to Observe,Completed,403 ROY ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002653-23CP,True,True,False,leak,trao,
003259-23CP,7,2023 Mar 30 12:00:00 AM,2023 Mar 31 12:00:00 AM,Completed,Under Investigation,1102 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003259-23CP,True,False,False,leak|leaking,,
003933-23CP,7,2023 Apr 17 12:00:00 AM,,,Completed,1526 3RD AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003933-23CP,False,False,True,,,pay or vacate|vacate notice
004865-23CP,7,2023 May 10 12:00:00 AM,,,Under Investigation,714 7TH AVE,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004865-23CP,False,False,True,,,notice to vacate
005568-23CP,7,2023 May 26 12:00:00 AM,,,Under Investigation,403 ROY ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005568-23CP,False,True,True,,threaten,vacate notice
006291-23CP,7,2023 Jun 13 12:00:00 AM,,,Completed,221 W MERCER ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006291-23CP,False,True,False,,told to leave,
006365-23CP,7,2023 Jun 14 12:00:00 AM,,,Completed,810 HARRISON ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006365-23CP,False,False,True,,,rent increase
006662-23CP,7,2023 Jun 16 12:00:00 AM,,,Completed,2134 WESTERN AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006662-23CP,False,False,True,,,notice to vacate
007370-23CP,7,2023 Jul 06 12:00:00 AM,,,Completed,1118 5TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007370-23CP,False,False,True,,,notice to vacate
007489-23CP,7,2023 Jul 10 12:00:00 AM,,,Completed,2121 6TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007489-23CP,False,False,True,,,eviction notice
008667-23CP,7,2023 Jul 28 12:00:00 AM,,,Closed,2004 DEXTER AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008667-23CP,False,False,True,,,notice to vacate
009789-23CP,7,2023 Aug 17 12:00:00 AM,,,Completed,2004 DEXTER AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009789-23CP,False,False,True,,,eviction notice
009794-23CP,7,2023 Aug 17 12:00:00 AM,,,Completed,1902 2ND AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009794-23CP,True,False,False,leak,,
009937-23CP,7,2023 Aug 15 12:00:00 AM,,,Completed,76 CEDAR ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009937-23CP,False,False,True,,,rent increase
010310-23CP,7,2023 Aug 30 12:00:00 AM,,,Completed,1820 MINOR AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010310-23CP,False,False,True,,,notice to vacate
010397-23CP,7,2023 Sep 01 12:00:00 AM,,,Completed,840 W NICKERSON ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010397-23CP,False,False,True,,,rent increase|late fees
010505-23CP,7,2023 Sep 05 12:00:00 AM,,,Under Investigation,1233 TAYLOR AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010505-23CP,False,False,True,,,rent increase
010808-23CP,7,2023 Sep 12 12:00:00 AM,,,Completed,1820 MINOR AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010808-23CP,False,False,True,,,eviction notice
010913-23CP,7,2023 Sep 14 12:00:00 AM,,,Completed,1102 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010913-23CP,False,True,False,,locked out,
012327-23CP,7,2023 Oct 16 12:00:00 AM,,,Completed,2004 DEXTER AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=012327-23CP,True,False,False,uninhabitable,,
012733-23CP,7,2023 Oct 25 12:00:00 AM,,,Completed,2 SMITH ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=012733-23CP,False,False,True,,,eviction notice
012903-23CP,7,2023 Oct 30 12:00:00 AM,2023 Oct 31 12:00:00 AM,Completed,Under Investigation,85 PIKE ST,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=012903-23CP,True,False,False,no power|leak|mold,,
013245-23CP,7,2023 Nov 08 12:00:00 AM,,,Completed,1255 HARRISON ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=013245-23CP,False,False,True,,,eviction notice
013357-23CP,7,2023 Nov 13 12:00:00 AM,,,Completed,1814 MINOR AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=013357-23CP,False,False,True,,,notice to vacate
013996-23CP,7,2023 Dec 04 12:00:00 AM,2024 Jan 26 12:00:00 AM,Completed,Under Investigation,5 W Roy ST,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=013996-23CP,True,False,False,hazard,,
014028-23CP,7,2023 Dec 04 12:00:00 AM,,,Completed,2721 4TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014028-23CP,False,False,True,,,notice to vacate
014351-23CP,7,2023 Dec 11 12:00:00 AM,,,Completed,705 2ND AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014351-23CP,True,False,False,no heat,,
014531-23CP,7,2023 Dec 15 12:00:00 AM,,,Completed,2305 1ST AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014531-23CP,False,False,True,,,eviction notice
000676-24CP,7,2024 Jan 17 12:00:00 AM,,,Completed,1823 TERRY AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000676-24CP,True,False,False,no hot water,,
000821-24CP,7,2024 Jan 22 12:00:00 AM,,,Completed,255 LENORA ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000821-24CP,False,True,True,,relocation assistance,notice to vacate
000823-24CP,7,2024 Jan 22 12:00:00 AM,,,Closed,1170 HARRISON ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000823-24CP,True,False,False,no water,,
000889-24CP,7,2024 Jan 23 12:00:00 AM,,,Closed,1170 HARRISON ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000889-24CP,True,False,False,no water,,
001274-24CP,7,2024 Jan 31 12:00:00 AM,,,Completed,211 PINE ST,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001274-24CP,False,False,True,,,3 day notice
001497-24CP,7,2024 Feb 06 12:00:00 AM,,,Completed,2516 3RD AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001497-24CP,False,True,False,,threaten,
001570-24CP,7,2024 Feb 08 12:00:00 AM,,,Completed,1831 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001570-24CP,False,False,True,,,10 day notice
001579-24CP,7,2024 Feb 08 12:00:00 AM,,,Completed,3104 WESTERN AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001579-24CP,False,False,True,,,eviction notice
001616-24CP,7,2024 Feb 08 12:00:00 AM,,,Completed,1110 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001616-24CP,True,True,True,leak|flooding|uninhabitable,pota,tenant rights
