RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,Latitude,Longitude,Location1,OpenMonth,OpenYear,OpenQuarter,LastInspMonth,LastInspYear,LastInspQuarter,NoInspDate T/F,NoInspResult T/F,OpenToLastInspDays,District,CP,VI,CT,RecordTypeDescBlank,HealthSafetyHabitability,HarassmentRetaliationDisplacement,RightsViolations
004318-05CP,Complaint,Request,Emergency,water was shut off 9/29/05,2005 Sep 30 12:00:00 AM,2005 Sep 30 12:00:00 AM,Completed,Completed,2557 12TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004318-05CP,47.64236835,-122.37292758,"(47.64236835, -122.37292758)",9,2005,3,9,2005,3,False,False,0,7,True,False,False,False,False,False,False
004616-05CP,Complaint,Request,Emergency,"Water has been turned off due to non payment of bill which totals approximately $1,800.00.  Owner is claiming that he is in a dispute with the City over drainage problems.",2005 Oct 24 12:00:00 AM,2005 Nov 03 12:00:00 AM,Completed,Completed,3465 8TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004616-05CP,47.65221885,-122.3679085,"(47.65221885, -122.3679085)",10,2005,4,11,2005,4,False,False,10,7,True,False,False,False,False,False,False
004760-05CP,Complaint,Request,Emergency,BASEMENT APARTMENT WAS FLOODED WITH SEWAGE ON SATURDAY--STILL HAS NOT BEEN CLEANED UP--TENANT IS STAYING WITH FRIENDS,2005 Nov 03 12:00:00 AM,2005 Nov 03 12:00:00 AM,Completed,Completed,2929 WARREN AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004760-05CP,47.64653494,-122.35477098,"(47.64653494, -122.35477098)",11,2005,4,11,2005,4,False,False,0,7,True,False,False,False,True,False,False
004794-05CP,Complaint,Request,Emergency,BATHROOM CEILING HAS BEEN LEAKING SINCE 11-04-2005. SHE HAS 4 HOLE IN CEILING AND BUCKETS AND TOWEL TO CATCH WATER. UNABLE TO USE BATHROOM W/O GETTING WET.,2005 Nov 07 12:00:00 AM,2005 Nov 07 12:00:00 AM,Completed,Completed,1820 MINOR AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004794-05CP,47.61783424,-122.33135811,"(47.61783424, -122.33135811)",11,2005,4,11,2005,4,False,False,0,7,True,False,False,False,True,False,False
1005390-VI,Notice of Violation,Case,Emergency,power has been shut off for 3-4 weeks,2005 Jun 01 12:00:00 AM,2005 Jun 03 12:00:00 AM,Compliance Achieved,Completed,2214 THORNDYKE AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1005390-VI,47.63885321,-122.38712338,"(47.63885321, -122.38712338)",6,2005,2,6,2005,2,False,False,2,7,False,True,False,False,False,False,False
1005451-VI,Notice of Violation,Case,Emergency,power has been shut off for 3-4 weeks,2005 Jun 07 12:00:00 AM,2005 Jun 24 12:00:00 AM,Compliance Achieved,Completed,2214 THORNDYKE AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1005451-VI,47.63885321,-122.38712338,"(47.63885321, -122.38712338)",6,2005,2,6,2005,2,False,False,17,7,False,True,False,False,False,False,False
1005454-VI,Notice of Violation,Case,Emergency,power has been shut off for 3-4 weeks,2005 Jun 07 12:00:00 AM,2005 Jun 24 12:00:00 AM,Compliance Achieved,Completed,2214 THORNDYKE AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1005454-VI,47.63885321,-122.38712338,"(47.63885321, -122.38712338)",6,2005,2,6,2005,2,False,False,17,7,False,True,False,False,False,False,False
1006456-VI,Notice of Violation,Case,Emergency,water was shut off 9/29/05,2005 Sep 30 12:00:00 AM,2006 May 19 12:00:00 AM,Compliance Achieved,Completed,2557 12TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1006456-VI,47.64236835,-122.37292758,"(47.64236835, -122.37292758)",9,2005,3,5,2006,2,False,False,231,7,False,True,False,False,False,False,False
1006865-VI,Notice of Violation,Case,Emergency,BATHROOM CEILING HAS BEEN LEAKING SINCE 11-04-2005. SHE HAS 4 HOLE IN CEILING AND BUCKETS AND TOWEL TO CATCH WATER. UNABLE TO USE BATHROOM W/O GETTING WET.,2005 Nov 15 12:00:00 AM,2005 Nov 09 12:00:00 AM,Compliance Achieved,Completed,1820 MINOR AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1006865-VI,47.61783424,-122.33135811,"(47.61783424, -122.33135811)",11,2005,4,11,2005,4,False,False,-6,7,False,True,False,False,True,False,False
005360-06CP,Complaint,Request,Emergency,has not had water on his floor for the last 23 hrs....landlords name is Patt Webber 206-448-0900 206-239-2360,2006 Nov 27 12:00:00 AM,2006 Nov 27 12:00:00 AM,Completed,Completed,306 BLANCHARD ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005360-06CP,47.61419579,-122.34355459,"(47.61419579, -122.34355459)",11,2006,4,11,2006,4,False,False,0,7,True,False,False,False,False,False,False
005395-07CP,Complaint,Request,Emergency,Water leaking through ceiling light fixture in bathroom. This started occurring on Saturday 10/27/07 at midnight. Plumber is scheduled to come in on Thursday 11/1/07. Wants this to be fixed sooner.Tenant says the resident manager is very intimidating to residents and most residents are fearful of losing affordable housing. This tenant says she has already suffered retaliation.Resident Manager yelled at tenant for asking for maintenance on a weekend. Toilet/bathroom has been unusable since Sunda,2007 Oct 30 12:00:00 AM,2007 Oct 31 12:00:00 AM,Completed,Completed,2519 1ST AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005395-07CP,47.6149239,-122.34958181,"(47.6149239, -122.34958181)",10,2007,4,10,2007,4,False,False,1,7,True,False,False,False,True,True,False
1014047-VI,Notice of Violation,Case,Emergency,Water leaking through ceiling light fixture in bathroom. This started occurring on Saturday 10/27/07 at midnight. Plumber is scheduled to come in on Thursday 11/1/07. Wants this to be fixed sooner.Tenant says the resident manager is very intimidating to residents and most residents are fearful of losing affordable housing. This tenant says she has already suffered retaliation.Resident Manager yelled at tenant for asking for maintenance on a weekend. Toilet/bathroom has been unusable since Sunda,2007 Nov 05 12:00:00 AM,2007 Sep 27 12:00:00 AM,Compliance Achieved,Completed,2519 1ST AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1014047-VI,47.6149239,-122.34958181,"(47.6149239, -122.34958181)",11,2007,4,9,2007,3,False,False,-39,7,False,True,False,False,True,True,False
002719-08CP,Complaint,Request,Emergency,Power to parts of the building not working. See attached CSB complaint.,2008 May 13 12:00:00 AM,2008 Jun 10 12:00:00 AM,Completed,Completed,2133 5TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002719-08CP,47.61496586,-122.34189454,"(47.61496586, -122.34189454)",5,2008,2,6,2008,2,False,False,28,7,True,False,False,False,False,False,False
004859-08CP,Complaint,Request,Emergency,Elevator has not worked for past 2-1/2 days. This is 6-story assisted living facility with some folks in wheelchairs.,2008 Sep 02 12:00:00 AM,2008 Sep 05 12:00:00 AM,Completed,Completed,1925 1ST AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004859-08CP,47.61064748,-122.34251223,"(47.61064748, -122.34251223)",9,2008,3,9,2008,3,False,False,3,7,True,False,False,False,False,False,False
006219-08CP,Complaint,Request,Emergency,No heat in the apartment; landlord refused to turn on the radiators.,2008 Dec 15 12:00:00 AM,,,Completed,200 ALOHA ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006219-08CP,47.62753672,-122.35251007,"(47.62753672, -122.35251007)",12,2008,4,,,,True,True,,7,True,False,False,False,True,False,False
001300-09CP,Complaint,Request,Emergency,THERE HAS BEEN NO HEAT SINCE FRIDAY--(TENANT'S MOTHER CALLED IN THE COMPLAINT),2009 Jan 27 12:00:00 AM,2009 Jan 28 12:00:00 AM,Completed,Completed,327 W OLYMPIC PL,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001300-09CP,47.62656285,-122.36182981,"(47.62656285, -122.36182981)",1,2009,1,1,2009,1,False,False,1,7,True,False,False,False,True,False,False
004798-09CP,Complaint,Request,Emergency,"Gas service shut off for nonpayment (no heat, no hot water). Tenant has been attempting to contact owner, has received no response. The property is in foreclosure (they have been posting the front door) and the tenant thinks the owner may be planning on just letting the property go. The tenant quit paying rent in September, stated his rent was $2400 a month.",2009 Sep 22 12:00:00 AM,2009 Sep 24 12:00:00 AM,Completed,Completed,2518 6TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004798-09CP,47.64195397,-122.36462444,"(47.64195397, -122.36462444)",9,2009,3,9,2009,3,False,False,2,7,True,False,False,False,True,False,False
005386-09CP,Complaint,Request,Emergency,,2009 Nov 05 12:00:00 AM,2009 Nov 05 12:00:00 AM,Completed,Completed,2312 3RD AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005386-09CP,47.61534278,-122.3451604,"(47.61534278, -122.3451604)",11,2009,4,11,2009,4,False,False,0,7,True,False,False,False,False,False,False
005388-09CP,Complaint,Request,Emergency,"Mold infestation, NO HEAT source in the unit at all. The owner dropped off two space heaters and also told her to turn on the oven and open it up to heat the apartment.",2009 Nov 05 12:00:00 AM,2009 Nov 05 12:00:00 AM,Completed,Completed,317 W REPUBLICAN ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005388-09CP,47.62310625,-122.36138413,"(47.62310625, -122.36138413)",11,2009,4,11,2009,4,False,False,0,7,True,False,False,False,True,False,False
005549-09CP,Complaint,Request,Emergency,"No heat. Multiple housing complaints: windows need weatherization, mold, front door is not secure, inoperable windows, bathroom in disrepair.",2009 Nov 23 12:00:00 AM,2009 Nov 24 12:00:00 AM,Completed,Completed,2302 4TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005549-09CP,47.61565753,-122.34387202,"(47.61565753, -122.34387202)",11,2009,4,11,2009,4,False,False,1,7,True,False,False,False,True,False,False
005711-09CP,Complaint,Request,Emergency,"Heater has been broken and the tenant put in a work order with the manager on 11/20/09 and was told they will fix it, but nothing has been done. She called again and nothing has been done. She stated it cold and she is using a space heater.",2009 Dec 09 12:00:00 AM,2009 Dec 09 12:00:00 AM,Completed,Completed,420 BLANCHARD ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005711-09CP,47.61513867,-122.34224721,"(47.61513867, -122.34224721)",12,2009,4,12,2009,4,False,False,0,7,True,False,False,False,False,False,False
005866-09CP,Complaint,Request,Emergency,Has been without heat since 12/23/09. The gas company came out on 12/23/09 and red tagged the furnace and stove due to a gas leak and carbon monoxide. The heat was shut-off the landlord is living in Wyoming and is giving the tenant the run-around.,2009 Dec 29 12:00:00 AM,2009 Dec 30 12:00:00 AM,Completed,Completed,1527 1ST AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005866-09CP,47.6331359,-122.35863238,"(47.6331359, -122.35863238)",12,2009,4,12,2009,4,False,False,1,7,True,False,False,False,True,False,False
1021059-VI,Notice of Violation,Case,Emergency,,2009 Nov 05 12:00:00 AM,2009 Nov 06 12:00:00 AM,Compliance Achieved,Completed,2312 3RD AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1021059-VI,47.61534278,-122.3451604,"(47.61534278, -122.3451604)",11,2009,4,11,2009,4,False,False,1,7,False,True,False,False,False,False,False
1021065-VI,Notice of Violation,Case,Emergency,"Mold infestation, NO HEAT source in the unit at all. The owner dropped off two space heaters and also told her to turn on the oven and open it up to heat the apartment.",2009 Nov 05 12:00:00 AM,2009 Dec 17 12:00:00 AM,Compliance Achieved,Completed,317 W REPUBLICAN ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1021065-VI,47.62310625,-122.36138413,"(47.62310625, -122.36138413)",11,2009,4,12,2009,4,False,False,42,7,False,True,False,False,True,False,False
1021308-VI,Notice of Violation,Case,Emergency,"Heater has been broken and the tenant put in a work order with the manager on 11/20/09 and was told they will fix it, but nothing has been done. She called again and nothing has been done. She stated it cold and she is using a space heater.",2009 Dec 09 12:00:00 AM,2009 Dec 10 12:00:00 AM,Compliance Achieved,Completed,420 BLANCHARD ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1021308-VI,47.61513867,-122.34224721,"(47.61513867, -122.34224721)",12,2009,4,12,2009,4,False,False,1,7,False,True,False,False,False,False,False
1021386-VI,Notice of Violation,Case,Emergency,"No heat. Multiple housing complaints: windows need weatherization, mold, front door is not secure, inoperable windows, bathroom in disrepair.",2009 Dec 18 12:00:00 AM,2010 Feb 01 12:00:00 AM,Compliance Achieved,Completed,2302 4TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1021386-VI,47.61565753,-122.34387202,"(47.61565753, -122.34387202)",12,2009,4,2,2010,1,False,False,45,7,False,True,False,False,True,False,False
005342-10CP,Complaint,Request,Emergency,"Electric baseboard heaters (there are 2 in the unit) have not been working for at least 2 months. Management has been notified, but not responding to complaint. The compl (tenant) also said some of the units in the building are infested with bed bugs. I told him to have those tenants with bed bugs in their units to call us and report it. He said his unit does not have bed bugs.",2010 Nov 29 12:00:00 AM,2010 Dec 01 12:00:00 AM,Completed,Completed,823 MADISON ST,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005342-10CP,47.60825794,-122.32744091,"(47.60825794, -122.32744091)",11,2010,4,12,2010,4,False,False,2,7,True,False,False,False,True,False,False
005438-10CP,Complaint,Request,Emergency,Emergency Order - Uninhabitable Condition.,2010 Dec 09 12:00:00 AM,2010 Dec 09 12:00:00 AM,Completed,Completed,2058 14TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005438-10CP,47.63837628,-122.37471274,"(47.63837628, -122.37471274)",12,2010,4,12,2010,4,False,False,0,7,True,False,False,False,True,False,False
1024522-VI,Notice of Violation,Case,Emergency,Emergency Order - Uninhabitable Condition.,2010 Dec 09 12:00:00 AM,2010 Dec 17 12:00:00 AM,Compliance Achieved,Completed,2058 14TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1024522-VI,47.63837628,-122.37471274,"(47.63837628, -122.37471274)",12,2010,4,12,2010,4,False,False,8,7,False,True,False,False,True,False,False
002884-11CP,Complaint,Request,Emergency,NO HEAT. Complainant understands that effective 6/30/11 the lanlord can turn the boiler down. Said it is cold and he doesn't care if there is just a few more days for this requirement.,2011 Jun 22 12:00:00 AM,2011 Jun 23 12:00:00 AM,Completed,Completed,1811 EASTLAKE AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002884-11CP,47.61824357,-122.32950667,"(47.61824357, -122.32950667)",6,2011,2,6,2011,2,False,False,1,7,True,False,False,False,True,False,False
005042-11CP,Complaint,Request,Emergency,Onsite manager has been instructed to turn on heat from 7am - 9:30 & 7pm - 9:30pm only. Complainant is in basement apartment and heat does not meet minimum standards.,2011 Nov 14 12:00:00 AM,2011 Nov 15 12:00:00 AM,Completed,Completed,420 VINE ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005042-11CP,47.61789362,-122.34658992,"(47.61789362, -122.34658992)",11,2011,4,11,2011,4,False,False,1,7,True,False,False,False,False,False,False
001528-12CP,Complaint,Request,Emergency,"NO HEAT (Using space heater), dirty, bad conditions. He is moving out in two weeks. Please let Diane D know the outcome so she can contact CM Rasmussen. SEE ATTACHED CSC from Diane Sugimura.",2012 Feb 28 12:00:00 AM,2012 Mar 07 12:00:00 AM,Completed,Completed,2302 4TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001528-12CP,47.61565753,-122.34387202,"(47.61565753, -122.34387202)",2,2012,1,3,2012,1,False,False,8,7,True,False,False,False,True,False,False
002084-12CP,Complaint,Request,Emergency,No heat in unit.  Boiler system off for the past 72 hours. Temperature in unit dropping below 58 degress at night. Using oven for heat.,2012 Apr 19 12:00:00 AM,2012 Apr 19 12:00:00 AM,Completed,Completed,420 VINE ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002084-12CP,47.61789362,-122.34658992,"(47.61789362, -122.34658992)",4,2012,2,4,2012,2,False,False,0,7,True,False,False,False,True,False,False
004363-12CP,Complaint,Request,Emergency,-Has bug infestation that management won't deal with. Tenant has tried bug bombs but nothing seems to work. -Apartment door was kicked in on the night of 9/16/12. Door frame is damaged. Management has not been by to check door even though it has been reported.-Laundry has issues and smells like sewage.-Doesn't have cold water some days and doesn't have hot water on some days.,2012 Sep 17 12:00:00 AM,2012 Sep 19 12:00:00 AM,Completed,Completed,424 MINOR AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004363-12CP,47.62272051,-122.33259681,"(47.62272051, -122.33259681)",9,2012,3,9,2012,3,False,False,2,7,True,False,False,False,True,False,False
004478-12CP,Complaint,Request,Emergency,No hot water for two days. Heat has not been turned on for the fall season yet.,2012 Sep 24 12:00:00 AM,2012 Sep 28 12:00:00 AM,Completed,Completed,230 8TH AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004478-12CP,47.62067104,-122.34072906,"(47.62067104, -122.34072906)",9,2012,3,9,2012,3,False,False,4,7,True,False,False,False,True,False,False
004921-12CP,Complaint,Request,Emergency,TENANT HAS NOT HAD USE OF HER BATHROOM FOR A WEEK DUE TO CONSTRUCTION--BATHROOM IS COMPLETELY GUTTED AND LANDLORD HAS BEEN VERY SLOW IN COMPLETING THE WORK,2012 Oct 24 12:00:00 AM,,,Completed,1519 3RD AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004921-12CP,47.61019689,-122.33860497,"(47.61019689, -122.33860497)",10,2012,4,,,,True,True,,7,True,False,False,False,False,False,False
005031-12CP,Complaint,Request,Emergency,"Per online complaint ""Our apartment complex has been doing construction on the exterior of our building for 3 months. They've installed invasive plastic construction walls that protrude inside the apartment, and have shut off our heat as well. With the onset of winter, I believe these conditions to be untenable. Help!""",2012 Nov 02 12:00:00 AM,2012 Nov 14 12:00:00 AM,Completed,Completed,2900 1ST AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005031-12CP,47.6172393,-122.35249237,"(47.6172393, -122.35249237)",11,2012,4,11,2012,4,False,False,12,7,True,False,False,False,False,False,False
005106-12CP,Complaint,Request,Emergency,No heat in unit since Sunday. Radiator heater. Other units affected also.,2012 Nov 07 12:00:00 AM,2012 Nov 09 12:00:00 AM,Completed,Completed,304 BELL ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005106-12CP,47.61493182,-122.3448276,"(47.61493182, -122.3448276)",11,2012,4,11,2012,4,False,False,2,7,True,False,False,False,True,False,False
005213-12CP,Complaint,Request,Emergency,"-Pipe burst in closet a month ago & water is 3"" deep with sewage (wall is soft/mildew) - MAIN PRIORITY-washing machine has been broken for months-electrical issues with a recessed light sparking-dryer has issues - concerned about fire hazard",2012 Nov 19 12:00:00 AM,2012 Nov 29 12:00:00 AM,Completed,Completed,2207 W RAYE ST,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005213-12CP,47.64274863,-122.38517034,"(47.64274863, -122.38517034)",11,2012,4,11,2012,4,False,False,10,7,True,False,False,False,True,False,False
005231-12CP,Complaint,Request,Emergency,"Heat in the unit isn't working currently - has not worked for a month, building wide issue but most of the units are owner occupied condos. Hot water is irregular as wll. Washer/dryer always breaking down.",2012 Nov 21 12:00:00 AM,2012 Dec 06 12:00:00 AM,Completed,Completed,2132 5TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005231-12CP,47.61532169,-122.34142372,"(47.61532169, -122.34142372)",11,2012,4,12,2012,4,False,False,15,7,True,False,False,False,False,False,False
005350-12CP,Complaint,Request,Emergency,**NO HEAT**  Landlord offered to buy her a blanket and an old portable electric heater. Owners wife told her to turn on the stove and open the door.,2012 Dec 04 12:00:00 AM,2012 Dec 04 12:00:00 AM,Completed,Completed,400 W MERCER ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005350-12CP,47.62489623,-122.36220838,"(47.62489623, -122.36220838)",12,2012,4,12,2012,4,False,False,0,7,True,False,False,False,True,False,False
1027058-VI,Notice of Violation,Case,Emergency,"NO HEAT (Using space heater), dirty, bad conditions. He is moving out in two weeks. Please let Diane D know the outcome so she can contact CM Rasmussen. SEE ATTACHED CSC from Diane Sugimura.",2012 Mar 07 12:00:00 AM,2012 Jun 22 12:00:00 AM,Compliance Achieved,Completed,2302 4TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1027058-VI,47.61565753,-122.34387202,"(47.61565753, -122.34387202)",3,2012,1,6,2012,2,False,False,107,7,False,True,False,False,True,False,False
1027461-VI,Notice of Violation,Case,Emergency,"NO HEAT (Using space heater), dirty, bad conditions. He is moving out in two weeks. Please let Diane D know the outcome so she can contact CM Rasmussen. SEE ATTACHED CSC from Diane Sugimura.",2012 May 17 12:00:00 AM,2012 Jun 22 12:00:00 AM,Compliance Achieved,Completed,2302 4TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1027461-VI,47.61565753,-122.34387202,"(47.61565753, -122.34387202)",5,2012,2,6,2012,2,False,False,36,7,False,True,False,False,True,False,False
1028309-VI,Notice of Violation,Case,Emergency,No hot water for two days. Heat has not been turned on for the fall season yet.,2012 Sep 28 12:00:00 AM,2012 Sep 28 12:00:00 AM,Compliance Achieved,Completed,230 8TH AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1028309-VI,47.62067104,-122.34072906,"(47.62067104, -122.34072906)",9,2012,3,9,2012,3,False,False,0,7,False,True,False,False,True,False,False
1028500-VI,Notice of Violation,Case,Emergency,TENANT HAS NOT HAD USE OF HER BATHROOM FOR A WEEK DUE TO CONSTRUCTION--BATHROOM IS COMPLETELY GUTTED AND LANDLORD HAS BEEN VERY SLOW IN COMPLETING THE WORK,2012 Oct 24 12:00:00 AM,2012 Oct 25 12:00:00 AM,Compliance Achieved,Completed,1519 3RD AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1028500-VI,47.61019689,-122.33860497,"(47.61019689, -122.33860497)",10,2012,4,10,2012,4,False,False,1,7,False,True,False,False,False,False,False
