STATUS,PIN,ADDRESS,CITY,ZIP,CADENCE_LLC,CURRENT_BUYER,PURCHASE_DATE,PURCHASE_PRICE,SELLER,LAND_VAL,IMPR_VAL,TOTAL_VAL,IMPR_FLAG,APT_UNITS,APT_STORIES,APT_YR_BUILT,HAS_ELEVATORS,COMPLAINTS_90D,TOTAL_COMPLAINTS,OPEN_UNRESOLVED,FLAGS,KNOWN_CASE,BUILDING_NAME,RANK,ACCT_NBR
CURRENT,7954000008,2531 29TH AVE S,SEATTLE,98109,CRE MT BAKER PARTNERS LLC,CRE MT BAKER PARTNERS LLC,06/04/2020,7591000,MBV LLC,7548400,2464600,10013000,,38,3,1959,N,3,5,0,,,BAKER 38 APARTMENTS,8151,795400000803
CURRENT,0590000101,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,05/19/2017,0,RELIABLE TRANSFER & STORAGE CO,259900,59300,319200,,,,,,,,,,,,,059000010104
CURRENT,2124069131,5150 220TH AVE SE,ISSAQUAH,98029,CRE SAMMAMISH B2 LLC,CRE SAMMAMISH B2 LLC,11/01/2016,12756000,CRE SAMMAMISH B LLC,0,0,0,,,,,,,,,,,,,212406913104
CURRENT,4083300280,2930 WESTLAKE AVE N #100,SEATTLE WA,98109,CRE QUEEN CITY LLC,CRE QUEEN CITY LLC,12/28/2012,5746400,CONE LLC,6144600,2083500,8228100,,,,,,,,,,,,,408330028007
CURRENT,3325049010,9840 WILLOWS RD NE #100,REDMOND,98052,CRE CHEHALIS DEVLOPEMENT LLC,CRE CHEHALIS DEVLOPEMENT LLC,10/12/2017,3235000,19TH & MADISON DEVELOPMENT LLC,1067300,0,1067300,,,,,,,,,,,,,332504901007
CURRENT,0590000003,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,01/21/2016,3350000,HO JOYCE H+KAN SOPHIA ET AL,11100,2500,13600,,,,,,,,,,,,,059000000303
CURRENT,0590000103,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,05/19/2017,0,RELIABLE TRANSFER & STORAGE CO,259900,59300,319200,,,,,,,,,,,,,059000010302
CURRENT,0590000403,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,05/19/2017,0,RELIABLE TRANSFER & STORAGE CO,330500,75300,405800,,,,,,,,,,,,,059000040309
CURRENT,0590000001,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,01/21/2016,3350000,HO JOYCE H+KAN SOPHIA ET AL,11100,2500,13600,,,,,,,,,,,,,059000000105
CURRENT,0939000120,107 CHERRY ST 98104,SEATTLE WA,98109,CRE LOWMAN PARTNERS LLC,CRE LOWMAN PARTNERS LLC,12/11/2019,13050000,LOWMAN BUILDING PARTNERS LLC,2262100,11426800,13688900,,89,10,1906,Y,,,,,,,,093900012092
CURRENT,1975700235,11 W 42ND ST,NEW YORK NY,10036,CRE HOLDINGS SUB 2 LLC,CRE HOLDINGS SUB 2 LLC,03/06/2025,0,LBA RVI-COMPANY XLI LLC,12210000,22102700,34312700,,,,,,,,,,,,,197570023501
CURRENT,0590000202,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,05/19/2017,0,RELIABLE TRANSFER & STORAGE CO,256200,58400,314600,,,,,,,,,,,,,059000020202
CURRENT,8804900441,1631 BOYLSTON AVE 98122,SEATTLE WA,98109,CRE BUENA VISTA PARTNERS LLC,CRE BUENA VISTA PARTNERS LLC,12/30/2020,5600000,HEATH FAMILY I LLC,2800000,4316000,7116000,,35,3,1907,N,,,,,,,,880490044109
CURRENT,0590000008,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,01/21/2016,3350000,HO JOYCE H+KAN SOPHIA ET AL,11100,2500,13600,,,,,,,,,,,,,059000000808
CURRENT,0590000007,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,01/21/2016,3350000,HO JOYCE H+KAN SOPHIA ET AL,11100,2500,13600,,,,,,,,,,,,,059000000709
CURRENT,1658000020,15327 4TH AVE W,LYNNWOOD,98087,CRE FTM 4014 LLC,CRE FTM 4014 LLC,12/11/2025,625000,BLUEPRINT 4014 LLC,291000,924300,1215300,,,,,,,,,,,,,165800002009
CURRENT,0590000203,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,05/19/2017,0,RELIABLE TRANSFER & STORAGE CO,256200,58400,314600,,,,,,,,,,,,,059000020301
CURRENT,7502500018,701 E PIKE ST 98122,SEATTLE,98109,CRE 701 EAST PIKE LLC,CRE 701 EAST PIKE LLC,12/20/2023,0,PIKE STREET TPII LLC,4885600,3329400,8215000,,40,3,1910,N,,,,,,,,750250001807
CURRENT,0590000401,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,05/19/2017,0,RELIABLE TRANSFER & STORAGE CO,367600,83800,451400,,,,,,,,,,,,,059000040101
CURRENT,7502500020,1420 BOYLSTON AVE 98122,SEATTLE,98109,CRE 1420 BOYLSTON LLC,CRE 1420 BOYLSTON LLC,12/20/2023,2007600,PIKE STREET TPII LLC,4020400,1000,4021400,SUSPICIOUS_$1000,12,3,1910,N,,,,,,,,750250002003
CURRENT,3325049057,9840 WILLOWS RD NE #100,REDMOND,98052,CRE CHEHALIS DEVLOPEMENT LLC,CRE CHEHALIS DEVLOPEMENT LLC,10/12/2017,3235000,19TH & MADISON DEVELOPMENT LLC,4333800,0,4333800,,,,,,,,,,,,,332504905701
CURRENT,9826701220,2930 WESTLAKE AVE N #100,SEATTLE WA,98109,CRE YESLER PARTNERS LLC,CRE YESLER PARTNERS LLC,10/31/2017,629700,KALO TERRACE LLC,832000,0,832000,,,,,,,,,,,,,982670122000
CURRENT,4232903900,2930 WESTLAKE AVE N #100,SEATTLE WA,98109,CRE 1501 QA LLC,CRE 1501 QA LLC,09/11/2013,4498000,STEWART DONKIN PROPERTIES,1980000,4537100,6517100,,,,,,,,,,,,,423290390008
CURRENT,0590000302,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,05/19/2017,0,RELIABLE TRANSFER & STORAGE CO,256200,58400,314600,,,,,,,,,,,,,059000030201
CURRENT,0590000303,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,05/19/2017,0,RELIABLE TRANSFER & STORAGE CO,297000,67800,364800,,,,,,,,,,,,,059000030300
CURRENT,0590000009,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,01/21/2016,3350000,HO JOYCE H+KAN SOPHIA ET AL,11100,2500,13600,,,,,,,,,,,,,059000000907
CURRENT,0590000002,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,01/21/2016,3350000,HO JOYCE H+KAN SOPHIA ET AL,11100,2500,13600,,,,,,,,,,,,,059000000204
CURRENT,0590000201,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,05/19/2017,0,RELIABLE TRANSFER & STORAGE CO,293300,66900,360200,,,,,,,,,,,,,059000020103
CURRENT,0590000006,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,01/21/2016,3350000,HO JOYCE H+KAN SOPHIA ET AL,11100,2500,13600,,,,,,,,,,,,,059000000600
CURRENT,0590000010,,,,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,01/21/2016,3350000,HO JOYCE H+KAN SOPHIA ET AL,0,0,0,,,,,,,,,,,,,
CURRENT,0590000402,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,05/19/2017,0,RELIABLE TRANSFER & STORAGE CO,297000,67800,364800,,,,,,,,,,,,,059000040200
CURRENT,0590000301,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,05/19/2017,0,RELIABLE TRANSFER & STORAGE CO,293300,66900,360200,,,,,,,,,,,,,059000030102
CURRENT,0590000102,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,05/19/2017,0,RELIABLE TRANSFER & STORAGE CO,222800,50800,273600,,,,,,,,,,,,,059000010203
CURRENT,0590000012,1416 NW 46TH ST #105 PMB 442,SEATTLE,98107,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,01/21/2016,3350000,HO JOYCE H+KAN SOPHIA ET AL,11100,2500,13600,,,,,,,,,,,,,059000001202
CURRENT,0590000011,,,,CRE BAYVIEW HEIGHTS LLC,CRE BAYVIEW HEIGHTS LLC,01/21/2016,3350000,HO JOYCE H+KAN SOPHIA ET AL,0,0,0,,,,,,,,,,,,,
SOLD,2771101900,3630 22ND AVE W 98199,BELLEVUE,98005,CRE MAQ 21 LLC,NORDIC POINTE LLC,01/29/2018,4800000,CORN VERITAS+VERITAS CAL CORP,1777500,3647500,5425000,,21,3,1990,N,6,16,0,,,MAGNOLIA POINTE APTS,824,277110190000
SOLD,9826700940,119 19TH AVE 98122,MERCER ISLAND,98040,CADENCE CHATEAU QOZB LLC,SFI 119 LLC,10/29/2019,0,CRE CHATEAU LLC,3456000,2227000,5683000,,21,3,1963,N,3,16,0,,,CHATEAU APT,4751,982670094001
SOLD,8807900315,1622 AURORA AVE N 98109,SEATTLE,98199,CRE JUNE SOUTH LAKE LLC,JUNE APARTMENTS LLC,10/28/2019,0,CRE QA PARTNERS LLC,1027600,14005400,15033000,,42,6,2018,Y,4,14,0,,,JUNE ON SOUTH LAKE,2487,880790031509
SOLD,7625703280,6040 CALIFORNIA AVE SW 98136,SEATTLE,98105,CRE 6040 PARTNERS LLC,COHANIM 6040 CALI LLC,05/18/2016,7495200,GRAHAM VIEW APARTMENTS LLC,2250000,7684000,9934000,,25,4,1992,Y,4,11,0,,,OFC/APT,2803,762570328000
SOLD,2461900860,5600 CALIFORNIA AVE SW 98136,SEATTLE,98105,CRE 5600 PARTNERS LLC +CRE ELISE LLC,COHANIM 5600 CALI LLC,12/19/2019,6889350,VORNBROCK PROPERTIES,2250000,6439000,8689000,,25,4,1966,N,3,11,0,,,ELIKAI APTS,5385,246190086008
SOLD,8807900300,1604 AURORA AVE N,SEATTLE,98106,CRE SOUTHLAKE II LLC,ULA HOLDINGS LLC,05/06/2019,1075000,RAZOR INVESTMENTS LLC,1049100,1000,1050100,SUSPICIOUS_$1000,,,,,5,10,0,SUSPICIOUS_IMPR_VALUE_1000,,DUPLEX,1616,880790030006
SOLD,5511600055,1128 N 77TH ST,AUBURN,98002,STROM ERIK WILLIAM+GARVIN CHRIS M+BOHANNON TYLER D,1128 N 77TH ST LLC,07/21/2006,610000,HIXSON BRENT E+DULCY C,768000,351000,1119000,,,,,,3,7,0,,,,6606,551160005502
SOLD,4310701340,9515 INTERLAKE AVE N 98103,SEATTLE,98109,CRE LICTON SPRINGS LLC,LICTON SPRINGS LLC,08/04/2014,4504400,LICTON SPRINGS ASSOCIATES,2325000,3695000,6020000,,27,3,1987,Y,4,6,0,,,LICTON SPRINGS APT,3726,431070134009
SOLD,5036300350,3539 27TH PL W 98199,SEATTLE,98199,CRE MAGNOLIA OWNER LLC,MAGNOLIA APT INVESTMENTS LLC,08/16/2017,14565000,MAG 50 LLC,10386400,5440600,15827000,,51,4,1969,Y,3,6,0,,,Magnolia Collection formerly THE CAVANAUGH,6842,503630035007
SOLD,6821100650,3825 34TH AVE W 98199,MERCER ISLAND WA,98040,CRE FOUNTAIN COURT LLC,CALTROP LLC,08/15/2014,2871800,FOUNTAIN COURT GROUP LLC,1050000,1396000,2446000,,9,3,1967,N,,,,,,,,682110065005
SOLD,6821100645,3831 34TH AVE W 98199,MERCER ISLAND WA,98040,CRE FOUNTAIN COURT LLC,CALTROP LLC,08/15/2014,2871800,FOUNTAIN COURT GROUP LLC,1050000,1415000,2465000,,9,3,1967,N,,,,,,,,682110064503
SOLD,4014400392,15423 146TH PL SE,RENTON WA,98058,CRE LLC,LI SUSAN SHU,11/08/2006,225000,GRIGGS CAROL A,192000,436000,628000,,,,,,,,,,,,,401440039204
SOLD,0307000005,PO BOX 261,REDMOND,98073,CRE BALLARD PARK LLC,WALLINGFORD TERRACE LLC,05/08/2013,1537800,AURORA TERRACE LLP,1155000,1968000,3123000,,,,,,,,,,,,,030700000505
SOLD,2767704515,6016 14TH AVE NW 98107,SEATTLE,98109,CRE 6016 LLC,FJS PROPERTIES BALLARD LLC,12/10/2014,1600000,SHARPE RONALD L PR,1096500,1095500,2192000,,8,4,1968,N,,,,,,,,276770451504
SOLD,6046401170,730 N 85TH ST 98103,SEATTLE,98144,CRE 85TH STREET PARTNERS LLC,TERRA APTS OWNER LLC,11/04/2015,3171800,LIVE LOVE LAUGH LLC,2998100,1224900,4223000,,17,4,1971,Y,,,,,,,,604640117007
SOLD,2767600965,1507 NW 64TH ST 98107,SEATTLE,98107,CRE BALLARD HEIGHTS LLC,KERRISDALE WEST LLC,07/15/2013,739850,CAPITAL EQUITY FUND III LLC,1225000,335000,1560000,,5,2,1966,N,,,,,,,,276760096509
SOLD,0662870080,11225 SE 6TH ST #230,BELLEVUE,98004,CRE BELLEVUE HOLDCO LLC,SPIRE MERCER POINT LP,09/14/2016,0,CRE BELLEVUE LLC,15375900,2545100,17921000,,,,,,,,,,,,,066287008008
SOLD,2124069003,320 120TH AVE NE SUITE 202,BELLEVUE,98005,CRE SAMMAMISH A2 LLC,KBHPNW LLC,11/01/2016,12880000,CRE SAMMAMISH A LLC,5695900,23358200,29054100,,,,,,,,,,,,,212406900309
SOLD,9465200125,9050 GREENWOOD AVE N 98103,SEATTLE,98113,CRE CENTRAL 9050 GREENWOOD LLC,85TH STREET APTS LLC,10/21/2016,3011000,HAWES JACK D,1654600,1960400,3615000,,21,3,1966,N,,,,,,,,946520012505
SOLD,2124069067,,,,CRE TAL SE 51ST OWNER LLC,KW 90 EAST LLC,01/21/2015,128250000,SAMMAMISH PARK LLC,0,0,0,,,,,,,,,,,,,
SOLD,1250203485,1120 LAKE WASHINGTON S,SEATTLE,98144,CRE LESCHI LLC,LIGHT BETH+THOMPSON ALAN,12/18/2013,100000,REDD ROBERT B+DIANNE REYONLDS,113000,0,113000,,,,,,,,,,,,,125020348509
SOLD,2267000141,3116 NW 85TH ST 98117,SEATTLE,98103,CADENCE PARTNERS LLC,GOLDEN GARDENS APARTMENTS LLC,01/20/2014,0,3116 NW 85TH ST LLC,1607400,1266600,2874000,,11,3,1963,N,,,,,,,,226700014104
SOLD,8807900320,,,,CRE JUNE SOUTH LAKE LLC,JUNE APARTMENTS LLC,10/28/2019,0,CRE QA PARTNERS LLC,0,0,0,,,,,,,,,,,,,
SOLD,2771600575,2515 THORNDYKE AVE W 98199,MUKILTEO WA,98275,CRE EDGE LLC,2515 THORNDYKE LLC,04/14/2015,2213200,GARBE JOHN W+JO ANNE L CO-TRUSTEES,2045900,1178100,3224000,,13,3,1959,N,,,,,,,,277160057505
SOLD,5457800680,310 ALOHA ST 98109,BELLEVUE,98008,CRE ANNE MARIE LLC,TAHN ASSOCIATES LLC,05/29/2013,884900,LUKE JOSEPH+GULBANU ALTYNBEAVA,1290000,676000,1966000,,10,2,1909,N,,,,,,,,545780068007
SOLD,2026059077,13319 108TH AVE NE,KIRKLAND,98034,CADENCE KIRKLAND LLC,VAILENCOUR LISA,11/24/2020,875000,COLLINS-TRT+COLLINS FRANCIS JV & GABRIELLE-TTEES,919000,184000,1103000,,,,,,,,,,,,,202605907700
SOLD,5217200005,3272 W LAKE SAMMAMISH PKWY NE,REDMOND,98052,CRE VELO PARTNERS LLC,301 VELO LLC,09/15/2014,0,CRE VELO LLC,4866000,7198000,12064000,,,,,,,,,,,,,521720000509
SOLD,9272201340,1520 CALIFORNIA AVE SW 98116,SEATTLE,98199,CRE VILLA ANDORA LLC,VILLA ANDORA 1520 LLC,11/18/2016,7602600,VILLA ANDORA LLC,3427000,5368000,8795000,,36,3,1969,Y,,,,,,,,927220134005
SOLD,5495200010,14705 171ST AVE SE,RENTON WA,98059,CRE 2011-2 REO WA-LAND LLC,CHERNYAK YURIY,05/11/2012,161450,REGIONAL TRUSTEE SERVICES CORPORATION,1090000,0,1090000,,,,,,,,,,,,,549520001005
SOLD,1861100335,1627 10TH AVE W 98119,SEATTLE,98125,CRE ELISE INVESTORS LLC,ELISE APARTMENTS LLC,11/25/2019,0,CRE ELISE LLC,1260000,1202000,2462000,,8,3,1928,N,,,,,,,,186110033500
SOLD,2767600870,1408 NW 63RD ST 98107,SEATTLE WA,98103,CRE BALLARD PARK LLC,KINYON ERIC+LARA BAIN,12/15/2011,878400,THOMPSON DAVID IV,1725000,180000,1905000,,8,2,1964,N,,,,,,,,276760087003
SOLD,7987400190,1900 THE EXCHANGE SE STE #280,ATLANTA GA,30339,CRE HARBOR AVENUE LLC,SKPW/400 LLC,05/15/2013,1200000,CENTRAL PACIFIC BANK,577200,0,577200,,,,,,,,,,,,,798740019004
SOLD,7192800120,1900 THE EXCHANGE SE STE #280,ATLANTA GA,30339,CRE HARBOR AVENUE LLC,SKPW/400 LLC,05/15/2013,1200000,CENTRAL PACIFIC BANK,585200,0,585200,,,,,,,,,,,,,719280012001
SOLD,7987400200,1900 THE EXCHANGE SE STE #280,ATLANTA GA,30339,CRE HARBOR AVENUE LLC,SKPW/400 LLC,05/15/2013,1200000,CENTRAL PACIFIC BANK,705100,0,705100,,,,,,,,,,,,,798740020002
SOLD,3396200100,13614 179TH AV NE,REDMOND,98052,GARVIN CHRIS+KALLIE,VOIGHTMANN MICHAEL PAUL+ALYSSA ANN,03/15/2011,390000,KELLNER SHAWN A+SUSAN E,629000,688000,1317000,,,,,,,,,,,,,339620010001
SOLD,2922703215,7607 8TH AVE NW 98117,MERCER ISLAND,98104,CRE 7607 BALLARD LLC,TOP HAT ENTERPRISES LLC,09/09/2014,1358200,WEGRICH CHIKAKO,570000,1309000,1879000,,8,2,1957,N,,,,,,,,292270321501
SOLD,1843051510,3212 W VIEWMONT W,SEATTLE,98199,GARVIN CHRISTOPHER M,MISKA STEVEN+KIMBERLY,01/07/2014,1025000,ASHFORD ELLIOTT J+LYNDA K,237800,1063200,1301000,,,,,,,,,,,,,184305151005
SOLD,8807900295,1604 AURORA AVE N,SEATTLE,98106,CRE SOUTHLAKE II LLC,ULA HOLDINGS LLC,05/09/2019,595000,ABLE GUARDIANSHIP SERVICES LLC +MARLEY PETER,1056000,0,1056000,,,,,,,,,,,,,880790029503
SOLD,6851700195,316 13TH AVE E 98102,ISSAQUAH,98029,CRE DENN MANOR LLC,PARK PLACE ISSAQUAH INC,10/26/2016,4222800,CANFIELD ROBERT S,3305400,2986600,6292000,,20,4,1966,N,,,,,,,,685170019507
